Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;colors;speed;net3g;cam2video;displayother;cam1features;batstandby1;battalktime1;cpu;bodyother;optionalother
https://www.gsmarena.com/amoi_e860-2038.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-e860.gif;Amoi E860;Released 2007;15.8mm thickness;Microsoft Windows Mobile 5.0 Phone Edition;50MB storage, microSD slot;6;0.1%;193,842 hits;"2.8""";240x320 pixels; ;;1150 mAh Li-Ion;GSM 900 / 1800;Yes;;2007;Discontinued;112 x 60.5 x 15.8 mm (4.41 x 2.38 x 0.62 in);;Mini-SIM;TFT resistive touchscreen, 256K colors (65K effective);2.8 inches, 24.3 cm(~35.8% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Microsoft Windows Mobile 5.0 Phone Edition;microSD (dedicated slot);50MB;2 MP;Yes;No;No;1.2, A2DP;GPS, SiRF Star III chipset;No;No;;File transferOrganizerTask synchronizing;Removable Li-Ion 1150 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/amoi_e78-2037.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-e78.gif;Amoi E78;Released 2007;12.7mm thickness;Microsoft Windows Mobile 5.0 PocketPC;64MB storage, microSD slot;7;N/A;143,126 hits;"2.46""";240x320 pixels; ;;1100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Yes;Yes;2007;Discontinued;115 x 61 x 12.7 mm (4.53 x 2.40 x 0.5 in);;Mini-SIM;TFT resistive touchscreen, 65K colors;2.46 inches, 18.7 cm(~26.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~163 ppi density);Microsoft Windows Mobile 5.0 PocketPC;microSD (dedicated slot);64MB;2 MP;Yes;No;No;1.2, A2DP;No;No;No;;File transferOrganizerTask synchronizingPocket Office;Removable Li-Ion 1100 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/amoi_e76-2036.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-e76.gif;Amoi E76;Released 2007;16.8mm thickness;Microsoft Windows Mobile 5.0 Phone Edition;64MB storage, microSD slot;7;N/A;153,478 hits;"2.2""";240x320 pixels; ;;1100 mAh Li-Ion;GSM 900 / 1800;Yes;;2007;Discontinued;100 x 51 x 16.8 mm (3.94 x 2.01 x 0.66 in);;Mini-SIM;TFT, 65K colors;2.2 inches, 15.0 cm(~29.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);Microsoft Windows Mobile 5.0 Phone Edition;microSD (dedicated slot);64MB;2 MP;Yes;No;No;1.2, A2DP;No;No;No;;File transferContactOrganizerTask synchronizing;Removable Li-Ion 1100 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/amoi_e72-2032.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-e72.gif;Amoi E72;Released 2007;14.8mm thickness;Microsoft Windows Mobile 5.0 Phone Edition;64MB storage, microSD slot;9;N/A;116,370 hits;"2.0""";176x220 pixels; ;;1100 mAh Li-Ion;GSM 900 / 1900;Yes;;2007;Discontinued;100 x 44.8 x 14.8 mm (3.94 x 1.76 x 0.58 in);;Mini-SIM;TFT, 65K colors;2.0 inches, 12.6 cm(~28.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);Microsoft Windows Mobile 5.0 Phone Edition;microSD (dedicated slot);64MB;1.3 MP;Yes;No;No;1.2, A2DP;No;No;No;;File transferOrganizer;Removable Li-Ion 1100 mAh battery;Black;HSPA;;;;;;;;;
https://www.gsmarena.com/amoi_wma8701a-2031.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-8701a.gif;Amoi WMA8701A;Released 2007;13.8mm thickness;Feature phone;200MB storage, microSD slot;5;N/A;90,793 hits;"2.2""";320x240 pixels; ;;820 mAh Li-Ion;GSM 900 / 1800;;;2007;Discontinued;109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in);;Mini-SIM;TFT, 256K colors;2.2 inches, 15.0 cm(~28.5% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~182 ppi density);;microSD (dedicated slot);200MB;2 MP;Yes;VGA videocall camera;No;1.2, A2DP;No;No;No;;Audio/ playerP2P Video SupportPC SyncOrganizer;Removable Li-Ion 820 mAh battery;Black;HSPA;UMTS 2100;;;;;;;;
https://www.gsmarena.com/amoi_wma8703-2029.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-8703.gif;Amoi WMA8703;Released 2007;13.8mm thickness;Feature phone;200MB storage, microSD slot;6;N/A;95,375 hits;"2.2""";320x240 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;;;2007;Discontinued;109.4 x 48 x 13.8 mm (4.31 x 1.89 x 0.54 in);;Mini-SIM;TFT, 256K colors;2.2 inches, 15.0 cm(~28.5% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~182 ppi density);;microSD (dedicated slot);200MB;3.15 MP;Yes;VGA videocall camera;No;1.2, A2DP;No;No;No;;Audio/ playerP2P Video SupportPC SyncOrganizer;Removable Li-Ion 920 mAh battery;Black;HSPA;UMTS 2100;;;;;;;;
https://www.gsmarena.com/amoi_wma8508-2028.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-8508.gif;Amoi WMA8508;Cancelled;15.9mm thickness;Feature phone;16MB storage, microSD slot;6;N/A;91,316 hits;"2.0""";176x220 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800;;;2007, August;Cancelled;95 x 48 x 15.9 mm (3.74 x 1.89 x 0.63 in);;Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~27.6% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD;16MB;1.3 MP;No;No;No;1.2, A2DP;No;No;No;;Audio/ playerP2P Video SupportPC SyncOrganizer;Removable Li-Ion 780 mAh battery;Black;Yes, 384 kbps;UMTS 2100;;- Second external OLED display,  128 x 36 pixels;rotating lens;;;;;
https://www.gsmarena.com/amoi_cma8170-2027.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-8170.gif;Amoi CMA8170;Released 2007;18.7mm thickness;Feature phone;90MB storage, microSD slot;1;N/A;82,296 hits;"2.0""";176x220 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / CDMA2000 1x EV-DO;No;No;2007;Discontinued;92.5 x 49.5 x 18.7 mm (3.64 x 1.95 x 0.74 in);;Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~27.5% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);90MB;1.3 MP;No;No;No;1.1;No;No;No;;Audio/ playerPC SyncOrganizer;Removable Li-Ion 860 mAh battery;Black;;;;- Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches;;;;;;
https://www.gsmarena.com/amoi_m33-2026.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-m33.gif;Amoi M33;Cancelled;10.5mm thickness;Feature phone;30MB storage, microSD slot;5;N/A;87,869 hits;"1.8""";128x160 pixels; ;;700 mAh Li-Ion;GSM 900 / 1800;No;No;2007, Q3;Cancelled;106 x 45 x 10.5 mm (4.17 x 1.77 x 0.41 in);;Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~21.4% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;microSD;30MB;VGA;No;No;No;No;No;FM radio;No;;MP3, MP4 PlayerPC SyncOrganizer;Removable Li-Ion 700 mAh battery;Silver;;;;;;;;;;
https://www.gsmarena.com/amoi_a203-2022.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a203.gif;Amoi A203;Released 2007;13.4mm thickness;Feature phone;5MB storage, no card slot;5;N/A;79,478 hits;"1.5""";128x128 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;101 x 46 x 13.4 mm (3.98 x 1.81 x 0.53 in);;Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~15.6% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;5MB;VGA;No;No;No;No;No;FM radio;No;;PC SyncOrganizer;Removable Li-Ion 750 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/amoi_a200-2021.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a200.gif;Amoi A200;Released 2007;15mm thickness;Feature phone;3MB storage, no card slot;5;N/A;80,357 hits;"1.5""";128x128 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;82 x 41 x 15 mm (3.23 x 1.61 x 0.59 in);;Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~21.6% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;3MB;VGA;No;No;No;No;No;No;No;;PC SyncOrganizer;Removable Li-Ion 750 mAh battery;Black & Silver, Pink & White;;;;;;;;;;
https://www.gsmarena.com/amoi_a102-2020.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a102.gif;Amoi A102;Released 2007;18mm thickness;Feature phone;No card slot;6;N/A;80,308 hits;"1.5""";128x128 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;85.5 x 45 x 18 mm (3.37 x 1.77 x 0.71 in);;Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~18.9% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;;No;;;No;No;No;No;No;;;Removable Li-Ion 750 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/amoi_a100-2019.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a100.gif;Amoi A100;Released 2007;75g, 18mm thickness;Feature phone;No card slot;6;N/A;84,073 hits;"1.5""";128x128 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;85.5 x 45 x 18 mm (3.37 x 1.77 x 0.71 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~18.9% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;;No;;;No;No;No;No;No;;;Removable Li-Ion 750 mAh battery;Black;;;;;;Up to 350 h;Up to 7 h;;;
https://www.gsmarena.com/amoi_a10-2018.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a10.gif;Amoi A10;Released 2007;15mm thickness;Feature phone;No card slot;2;N/A;82,971 hits;"1.5""";128x128 pixels; ;;1100 mAh Li-Ion;GSM 900 / 1800;No;No;2007;Discontinued;102.4 x 44 x 15 mm (4.03 x 1.73 x 0.59 in);;Mini-SIM;CSTN, mono;1.5 inches, 7.3 cm(~16.1% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;;No;;;No;No;No;No;No;;;Removable Li-Ion 1100 mAh battery;Black;;;;5-way wavigation key;;Up to 500 h;Up to 9 h;;;
https://www.gsmarena.com/amoi_e850-1821.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-e850.gif;Amoi E850;Released 2006, Q2;108g, 20mm thickness;Microsoft Windows Mobile 5.0 for â€¦;64MB RAM storage, microSD slot;9;N/A;99,299 hits;"2.4""";204x320 pixels;64 MB RAM;;1100 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;102 x 54 x 20 mm (4.02 x 2.13 x 0.79 in);108 g (3.81 oz);Mini-SIM;TFT resistive touchscreen, 256K colors (65K effective);2.4 inches, 16.8 cm(~30.6% screen-to-body ratio);204 x 320 pixels (~158 ppi density);Microsoft Windows Mobile 5.0 for PocketPC Phone Edition;microSD (dedicated slot);64MB RAM, 128MB ROM;2 MP;Yes;No;No;1.2;No;No;1.1;;Pocket OfficeMedia playerPC SyncVoice memoOrganizerWorld Time;Removable Li-Ion 1100 mAh battery;Black;;;;Handwriting recognition;LED flash;Up to 150 h;Up to 4 h;Intel XScale PXA 272 312 MHz;;
https://www.gsmarena.com/amoi_v810-1673.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-v810.gif;Amoi V810;Released 2006, Q2;128g, 28mm thickness;Feature phone;35MB storage, microSD slot;6;N/A;94,282 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;2006, Q2;Discontinued;94 x 50 x 28 mm (3.70 x 1.97 x 1.10 in);128g (4.52 oz);Mini-SIM;TFT, 256Kcolors;2.0 inches, 12.6 cm(~26.8% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);35MB;1.3 MP;CIF;No;No;Yes;GPS, A-GPS;No;Proprietary;;Audio & Video streaming (MP3 & MP4)BREWPC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;Yes, 384 kbps;UMTS 2100;;Second external OLED display,  96 x 64 pixels, 1.0 inches;180 deg rotating lens;Up to 120 h;Up to 3 h;;;
https://www.gsmarena.com/amoi_h815-1672.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h815.gif;Amoi H815;Released 2006, Q2;106g, 25mm thickness;Feature phone;36MB storage, no card slot;5;N/A;79,059 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;2006, Q2;Discontinued;90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in);106 g (3.74 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~31.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;No;36MB;1.3 MP;Yes;No;No;No;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;Yes, 384 kbps;UMTS 2100;;Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches;180 deg rotating lens;Up to 200 h;Up to 8 h;;;
https://www.gsmarena.com/amoi_h812-1671.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h812.gif;Amoi H812;Released 2006, Q2;106g, 25mm thickness;Feature phone;36MB storage, no card slot;7;N/A;78,595 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;2006, Q2;Discontinued;90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in);106 g (3.74 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~31.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;No;36MB;1.3 MP;Yes;No;No;No;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver black;Yes, 384 kbps;UMTS 2100;;Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches;180 deg rotating lens;Up to 200 h;Up to 8 h;;;
https://www.gsmarena.com/amoi_h810-1670.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h810.gif;Amoi H810;Released 2006, Q2;106g, 25mm thickness;Feature phone;36MB storage, no card slot;7;N/A;82,795 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;;;2006, Q2;Discontinued;90 x 45 x 25 mm (3.54 x 1.77 x 0.98 in);106g (3.74 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~31.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;No;36MB;1.3 MP;QCIF;No;No;No;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver black;Yes, 384 kbps;UMTS 2100;;Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches;180 deg rotating lens;Up to 200 h;Up to 8 h;;;
https://www.gsmarena.com/amoi_h802-1669.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h802.gif;Amoi H802;Released 2006, Q2;130g, 26.3mm thickness;Feature phone;7MB storage, microSD slot;7;N/A;80,620 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, Q2;Discontinued;93.5 x 50 x 26.3 mm (3.68 x 1.97 x 1.04 in);130g (4.59 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~26.9% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);7MB;1.3 MP;QCIF;No;No;Optional;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver black;Yes, 384 kbps;UMTS 2100;;Second external CSTN display, 65K colors, 96 x 96 pixels, 1.1 inches;180 deg rotating lens;Up to 200 h;Up to 10 h;;;
https://www.gsmarena.com/amoi_h801-1664.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h801.gif;Amoi H801;Released 2006, Q2;129g, 26mm thickness;Feature phone;7MB storage, microSD slot;7;N/A;72,997 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, Q2;Discontinued;93 x 50 x 26 mm (3.66 x 1.97 x 1.02 in);129g (4.55 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~27.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);7MB;1.3 MP;QCIF;No;No;Optional;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;Yes, 384 kbps;UMTS 2100;;Second external OLED display, 96 x 64 pixels, 1.0 inches;180 deg rotating lens;Up to 200 h;Up to 10 h;;;
https://www.gsmarena.com/amoi_h8-1663.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h8.gif;Amoi H8;Released 2006, Q2;128g, 28mm thickness;Feature phone;7MB storage, microSD slot;4;N/A;76,315 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, Q2;Discontinued;94 x 50 x 28 mm (3.70 x 1.97 x 1.10 in);128 g (4.52 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~26.8% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);7MB;1.3 MP;QCIF;No;No;Optional;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Black-silver;Yes, 384 kbps;UMTS 2100;;Second external OLED display, 96 x 64 pixels, 1.0 inches;180 deg rotating lens;Up to 200 h;Up to 10 h;;;
