Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;memoryslot;internalmemory;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;colors;speed;net3g;cam2video;displayother;cam1features;batstandby1;battalktime1;cpu;bodyother;optionalother
https://www.gsmarena.com/amoi_h80-1662.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-h80.gif;Amoi H80;Released 2006, Q2;128g, 28mm thickness;Feature phone;7MB storage, microSD slot;7;N/A;74,330 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2006, Q2;Discontinued;94 x 50 x 28 mm (3.70 x 1.97 x 1.10 in);128g (4.52 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~26.8% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);7MB;1.3 MP;QCIF;No;No;Optional;No;No;Proprietary;;Media player (H324M,MP3,H.263,MP4,AAC )PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Black;Yes, 384 kbps;UMTS 2100;;Second external OLED display, 96 x 64 pixels, 1.0 inches;180 deg rotating lens;Up to 200 h;Up to 10 h;;;
https://www.gsmarena.com/amoi_a675-1654.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a675.gif;Amoi A675;Released 2006, Q2;101.4g, 23.3mm thickness;Feature phone;128MB storage, no card slot;7;N/A;81,709 hits;"2.0""";320x240 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;93.2 x 46.3 x 23.3 mm (3.67 x 1.82 x 0.92 in);101.4 g (3.56 oz);Mini-SIM;TFT, 65K colors;2.0 inches, 12.4 cm(~28.7% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~200 ppi density);;No;128MB;2 MP;Yes;No;No;Yes;No;No;miniUSB;;MP3/ MP4 PlayerPC SyncTV-outVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Black;;;;;;;;;;
https://www.gsmarena.com/amoi_m636-1653.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-m636.gif;Amoi M636;Released 2006, Q2;97g, 18mm thickness;Feature phone;128MB storage, no card slot;7;N/A;84,442 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;107 x 47 x 18 mm (4.21 x 1.85 x 0.71 in);97 g (3.42 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~25.0% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;No;128MB;2 MP;Yes;No;No;No;No;FM radio;miniUSB;;MP3/ MP4 PlayerPC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver, Black;;;;;LED flash;Up to 150 h;Up to 5 h;;;
https://www.gsmarena.com/amoi_a865-1645.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a865.gif;Amoi A865;Released 2006, Q2;125g, 22.8mm thickness;Feature phone;10MB storage, microSD slot;7;N/A;77,348 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;90.3 x 45.9 x 22.8 mm (3.56 x 1.81 x 0.90 in);125 g (4.41 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~30.4% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;microSD (dedicated slot);10MB;2 MP;Yes;No;No;No;No;FM radio;miniUSB;;Optical Character RecognitionMP3/ MP4 PlayerPC SyncVoice memoPhoto editorOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;;;;Second external CSTN display, 65K colors, 96 x 64 pixels, 1.0 inches;rotating lens;Up to 180 h;Up to 5 h;;;
https://www.gsmarena.com/amoi_a869-1644.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a869.gif;Amoi A869;Released 2006, Q2;92.5g, 23.8mm thickness;Feature phone;128MB storage, no card slot;5;N/A;78,281 hits;"2.0""";240x320pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;93 x 46 x 23.8 mm (3.66 x 1.81 x 0.94 in);92.5 g (3.25 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~29.0% screen-to-body ratio);240 x 320pixels, 4:3 ratio (~200 ppi density);;No;128MB;2 MP;Yes;No;No;Yes;No;No;miniUSB;;MP3/ MP4 PlayerPC SyncTV-outVoice memoPhoto editorOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;;;;Second external OLED display, 96 x 64 pixels, 1.0 inches;LED flash;Up to 220 h;Up to 6 h;;Flashlight;
https://www.gsmarena.com/amoi_6201-1641.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-6201.gif;Amoi 6201;Released 2006, Q2;80g, 11.9mm thickness;Feature phone;128MB storage, no card slot;6;N/A;91,411 hits;"2.0""";176x220pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 8;No;2006, Q2;Discontinued;106 x 45 x 11.9 mm (4.17 x 1.77 x 0.47 in);80 g (2.82 oz);Mini-SIM;TFT, 65K colors;2.0 inches, 12.6 cm(~26.4% screen-to-body ratio);176 x 220pixels (~141 ppi density);;No;128MB;1.3 MP;Yes;No;No;Yes;No;No;miniUSB 1.1;;MP3/ MP4 PlayerPC SyncVoice memoPhoto editorOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;;;;;;Up to 150 h;Up to 4 h 30 min;;;
https://www.gsmarena.com/amoi_m360-1639.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-m360.gif;Amoi M360;Released 2006, Q2;88.6g, 24mm thickness;Feature phone;128MB storage, no card slot;9;N/A;80,037 hits;"1.8""";128x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;91.7 x 45 x 24 mm (3.61 x 1.77 x 0.94 in);88.6 g (3.10 oz);Mini-SIM;TFT, 65K colors;1.8 inches, 10.2 cm(~24.7% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;No;128MB;VGA;No;No;No;No;No;FM radio;miniUSB 1.1;;MP3 PlayerPC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;;;;- Second external CSTN display, 4K colors, 96 x 64 pixels;;Up to 100 h;Up to 5 h;;;
https://www.gsmarena.com/amoi_m650-1638.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-m650.gif;Amoi M650;Released 2006, Q2;94g, 21mm thickness;Feature phone;12MB storage, microSD slot;7;N/A;74,830 hits;"1.8""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;91 x 47 x 21 mm (3.58 x 1.85 x 0.83 in);94 g (3.32 oz);Mini-SIM;TFT, 256K colors;1.8 inches, 10.2 cm(~23.8% screen-to-body ratio);176 x 220 pixels (~157 ppi density);;microSD (dedicated slot);12MB;1.3 MP;No;No;No;No;No;No;miniUSB 1.1;;MP3/ MP4 PlayerPC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Black silver;;;;- Second external OlED display, 96 x 64 pixels, 1.0 inches;;Up to 120 h;Up to 5 h;;;
https://www.gsmarena.com/amoi_m630-1637.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-m630.gif;Amoi M630;Released 2006, Q2;97g, 18mm thickness;Feature phone;128MB storage, no card slot;6;N/A;80,184 hits;"2.0""";176x220 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;105 x 46 x 18 mm (4.13 x 1.81 x 0.71 in);97 g (3.42 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~26.1% screen-to-body ratio);176 x 220 pixels (~141 ppi density);;No;128MB;1.3 MP;No;No;No;No;No;No;miniUSB 1.1;;MP3 PlayerPC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Black;;;;;LED flash;Up to 150 h;Up to 5 h;;;
https://www.gsmarena.com/amoi_f620-1636.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-f620.gif;Amoi F620;Released 2006, Q2;80g, 23mm thickness;Feature phone;128MB storage, no card slot;7;N/A;76,171 hits;"1.5""";128x128 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;87 x 46 x 23 mm (3.43 x 1.81 x 0.91 in);80 g (2.82 oz);Mini-SIM;TFT, 256K colors;1.5 inches, 7.3 cm(~18.1% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;128MB;VGA;No;No;No;No;No;No;miniUSB 1.1;;MP3 PlayerPC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver pink, Silver blue;;;;- Second external TFT display, 262K colors, 96 x 64 pixels, 1.0 inches;;Up to 100 h;Up to 3 h;;;
https://www.gsmarena.com/amoi_a320-1635.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a320.gif;Amoi A320;Released 2006, Q2;80g, 17mm thickness;Feature phone;2MB storage, no card slot;6;N/A;94,052 hits;"1.8""";128x160 pixels; ;;720 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;104 x 43.6 x 17 mm (4.09 x 1.72 x 0.67 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~22.5% screen-to-body ratio);128 x 160 pixels (~114 ppi density);;No;2MB;VGA;No;No;No;No;No;No;No;;PC SyncVoice memoOrganizerWorld Time;Removable Li-Ion 720 mAh battery;Silver;;;;;;Up to 150 h;Up to 3 h;;;
https://www.gsmarena.com/amoi_f320-1634.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-f320.gif;Amoi F320;Released 2006, Q2;76g, 17.8mm thickness;Feature phone;3MB storage, no card slot;6;N/A;91,660 hits;"1.5""";128x128 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2006, Q2;Discontinued;100.4 x 46.1 x 17.8 mm (3.95 x 1.81 x 0.70 in);76 g (2.68 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~15.7% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;3MB;VGA;No;No;No;No;No;FM radio;No;;PC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver;;;;;;Up to 100 h;Up to 3 h;;;
https://www.gsmarena.com/amoi_a310-1633.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a310.gif;Amoi A310;Released 2006, Q2;62g, 14.9mm thickness;Feature phone;5MB storage, no card slot;7;N/A;93,569 hits;"1.5""";128x128 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2006, Q2;Discontinued;91.9 x 41.8 x 14.9 mm (3.62 x 1.65 x 0.59 in);62 g (2.19 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~18.9% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);;No;5MB;No;;;No;No;No;FM radio (Optional);No;;Amoi Smart DialPC SyncVoice memoOrganizerStop WatchWorld Time;Removable Li-Ion 720 mAh battery;Silver black;;;;;;Up to 100 h;Up to 4 h;;;
https://www.gsmarena.com/amoi_a211-1632.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a211.gif;Amoi A211;Released 2006, Q2;84g, 21.5mm thickness;Feature phone;650 KB storage, no card slot;7;N/A;82,324 hits;"1.8""";128x160pixels; ;;720 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;Class 10;No;2006, Q2;Discontinued;82 x 43 x 21.5 mm (3.23 x 1.69 x 0.85 in);84 g (2.96 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~28.9% screen-to-body ratio);128 x 160pixels (~114 ppi density);;No;650 KB;No;;;No;No;No;FM radio (Optional);No;;Amoi Smart DialPC SyncVoice memoOrganizer;Removable Li-Ion 720 mAh battery;Black-silver;;;;Second external FSTN display, 96 x 64 pixels, 1.0 inches;;Up to 100 h;Up to 5 h;;;
https://www.gsmarena.com/amoi_a210-1631.php;https://fdn2.gsmarena.com/vv/bigpic/amoi-a210.gif;Amoi A210;Released 2006, Q2;84g, 20.6mm thickness;Feature phone;No card slot;3;N/A;73,424 hits;"1.8""";128x160pixels; ;;720 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;No;No;2006, Q2;Discontinued;80 x 43 x 20.6 mm (3.15 x 1.69 x 0.81 in);84 g (2.96 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~29.6% screen-to-body ratio);128 x 160pixels (~114 ppi density);;No;;No;;;No;No;No;No;No;;Voice memoOrganizer;Removable Li-Ion 720 mAh battery;Silver, Grey;;;;Second external 1-inch FSTN display (96 x 64 pixels);;Up to 100 h;Up to 5 h;;;
https://www.gsmarena.com/amoi_2561-641.php;https://fdn2.gsmarena.com/vv/bigpic/am2561.gif;Amoi 2561;Released 2004, Q1;80g, 21mm thickness;Feature phone;No card slot;6;N/A;91,451 hits;;132x176 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2004, Q1;Discontinued;85 x 43 x 21 mm (3.35 x 1.69 x 0.83 in);80 g (2.82 oz);Mini-SIM;TFT, 256K colors;;132 x 176 pixels, 4:3 ratio;;No;;VGA;No;No;No;No;No;FM radio;Proprietary;;MP3 PlayerPredictive text inputOrganizer;Removable Li-Ion 860 mAh battery;;;;;Second external CSTN (96 x 64 pixels), 4096 colorsDownloadable games, screensavers, wallpapers;LED flash;Up to 100 h;Up to 3 h;;;
https://www.gsmarena.com/amoi_cs6-638.php;https://fdn2.gsmarena.com/vv/bigpic/amcs6.gif;Amoi CS6;Released 2004, Q1;80g, 21mm thickness;Feature phone;No card slot;8;N/A;106,517 hits;;128x128 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004, Q1;Discontinued;91.5 x 44 x 21 mm (3.60 x 1.73 x 0.83 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;;No;;No;;;No;No;No;No;;;Predictive text inputOrganizerPC Sync;Removable Li-Ion 860 mAh battery;;;;;Downloadable screensavers, wallpapers;;Up to 100 h;Up to 3 h;;;
https://www.gsmarena.com/amoi_2560-635.php;https://fdn2.gsmarena.com/vv/bigpic/am2560.gif;Amoi 2560;Released 2003;80g, 21mm thickness;Feature phone;No card slot;7;N/A;105,029 hits;;128x160 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2003;Discontinued;88 x 44 x 21 mm (3.46 x 1.73 x 0.83 in);80 g (2.82 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;;No;;VGA;No;No;No;No;No;No;;;Predictive text inputOrganizerVoice memo;Removable Li-Ion 860 mAh battery;;;;;Swivel and rotate 180 degDownloadable screensavers, wallpapers;LED flash;Up to 100 h;Up to 3 h;;;
https://www.gsmarena.com/amoi_a90-935.php;https://fdn2.gsmarena.com/vv/bigpic/ama90.gif;Amoi A90;Released 2004;83g, 21mm thickness;Feature phone;No card slot;7;N/A;84,860 hits;;128x160 pixels; ;;550 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2004;Discontinued;86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in);83 g (2.93 oz);Mini-SIM;Color graphics, 4K colors;;128 x 160 pixels;;No;;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion 550 mAh battery;;;;;Second external mono OLED display (80 x 48 pixels);;Up to 90 h;Up to 3 h;;;Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers
https://www.gsmarena.com/amoi_f99b-639.php;https://fdn2.gsmarena.com/vv/bigpic/amf99b.gif;Amoi F99b;Released 2003;80g, 24mm thickness;Feature phone;No card slot;6;N/A;94,340 hits;;128x128 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2003;Discontinued;86 x 49 x 24 mm (3.39 x 1.93 x 0.94 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;;No;;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion 860 mAh battery;;;;;Second external mono (32 x 63 pixels);;Up to 100 h;Up to 3 h;;;Polyphonic ringtonesDownloadable ringtones, screensavers, wallpapers
https://www.gsmarena.com/amoi_a9b-633.php;https://fdn2.gsmarena.com/vv/bigpic/ama9b.gif;Amoi A9B;Released 2003;80g, 21mm thickness;Feature phone;No card slot;6;N/A;56,307 hits;;128x128 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2003;Discontinued;86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;;No;;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion 860 mAh battery;;;;;Second external OLED (80 x 48 pixels)Screensavers, wallpapers;;Up to 100 h;Up to 3 h;;;
https://www.gsmarena.com/amoi_ca8-636.php;https://fdn2.gsmarena.com/vv/bigpic/amca8.gif;Amoi CA8;Released 2003;80g, 24.6mm thickness;Feature phone;No card slot;5;N/A;52,552 hits;;128x160 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2003;Discontinued;85.8 x 49 x 24.6 mm (3.38 x 1.93 x 0.97 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;;128 x 160 pixels;;No;;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion 860 mAh battery;;;;;Second external OLED (96 x 64 pixels);;Up to 100 h;Up to 3 h;;;Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers
https://www.gsmarena.com/amoi_ca6-640.php;https://fdn2.gsmarena.com/vv/bigpic/amca6.gif;Amoi CA6;Released 2003;80g, 24.6mm thickness;Feature phone;No card slot;6;N/A;67,484 hits;;128x160 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2003;Discontinued;85.8 x 49 x 24.6 mm (3.38 x 1.93 x 0.97 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;;128 x 160 pixels;;No;;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion 860 mAh battery;;;;;Second external OLED (96 x 64 pixels);;Up to 100 h;Up to 3 h;;;Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers
https://www.gsmarena.com/amoi_a90b-634.php;https://fdn2.gsmarena.com/vv/bigpic/ama90b.gif;Amoi A90B;Released 2003;80g, 20mm thickness;Feature phone;No card slot;6;N/A;56,553 hits;;128x128 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2003;Discontinued;86 x 44 x 20 mm (3.39 x 1.73 x 0.79 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;;No;;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion 860 mAh battery;;;;;Second external OLED (80 x 48 pixels);;Up to 100 h;Up to 3 h;;;Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers
https://www.gsmarena.com/amoi_s6-637.php;https://fdn2.gsmarena.com/vv/bigpic/ams6.gif;Amoi S6;Released 2003;80g, 21mm thickness;Feature phone;No card slot;8;N/A;98,070 hits;;128x128 pixels; ;;860 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2003;Discontinued;91.5 x 44 x 21 mm (3.60 x 1.73 x 0.83 in);80 g (2.82 oz);Mini-SIM;OLED, Grayscale (16 shades);;128 x 128 pixels, 1:1 ratio;;No;;No;;;No;No;No;No;;;Predictive text inputOrganizerPC SyncE-book (downloadable);Removable Li-Ion 860 mAh battery;;;;;Blue backlight;;Up to 100 h;Up to 3 h;;;Polyphonic ringtonesDownloadable games, ringtones, screensavers, wallpapers
