Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;internalmemory;memoryother
https://www.gsmarena.com/bird_d680-1407.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d680.gif;Bird D680;Cancelled;75g, 21mm thickness;Feature phone;No card slot;5;N/A;89,242 hits;;128x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Class 12;No;2006, Q1;Cancelled;88 x 42 x 21 mm (3.46 x 1.65 x 0.83 in);75 g (2.65 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second external CSTN display, 65K colors, (96x64 pixels)Wallpapers, screensavers;No;1.3 MP;Yes;No;No;No;No;No;Proprietary;;MP3/MIDI playerCalculatorWorld timePredictive text inputCurrency convertorVoice memo;Removable Li-Ion battery;;;;;2 MB for MMS messages200 SMS messages
https://www.gsmarena.com/bird_d660-1406.php;https://fdn2.gsmarena.com/vv/bigpic/bird-d660.gif;Bird D660;Cancelled;16.5mm thickness;Feature phone;64MB storage, microSD slot;5;N/A;81,995 hits;;128x160 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2006, Q1;Cancelled;107 x 45 x 16.5 mm (4.21 x 1.77 x 0.65 in);;Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Wallpapers;microSD;1.3 MP;Yes;No;No;No;No;No;Proprietary;;MP3/MIDI playerCalculatorWorld timePredictive text inputVoice memo;Removable Li-Ion battery;;;Silver;64MB;
https://www.gsmarena.com/bird_m11-1405.php;https://fdn2.gsmarena.com/vv/bigpic/bird-m11.gif;Bird M11;Cancelled;88g, 15.2mm thickness;Feature phone;32MB storage, no card slot;4;N/A;63,412 hits;;128x128 pixels; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2006, Q1;Cancelled;108 x 44 x 15.2 mm (4.25 x 1.73 x 0.60 in);88 g (3.10 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;Wallpapers;No;No;;;No;No;No;No;Proprietary;;MP3/MIDI playerCalculatorWorld timePredictive text input;Removable Li-Ion battery;;;;32MB;
https://www.gsmarena.com/bird_m08-1369.php;https://fdn2.gsmarena.com/vv/bigpic/bird-m08.gif;Bird M08;Cancelled;78g, 21.3mm thickness;Feature phone;32MB storage, microSD slot;7;N/A;67,730 hits;;128x160 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2005, Q3;Cancelled;87.8 x 43.3 x 21.3 mm (3.46 x 1.70 x 0.84 in);78 g (2.75 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Second external CSTN display, 65K colors, (96x64 pixels)7 colors flashing LEDWallpapers, screensavers;microSD;VGA;Yes;No;No;No;No;No;Proprietary;;MP3 playerOrganizerWorld timeVoice memo;Removable Li-Ion battery;Up to 200 h;Up to 2 h 50 min;;32MB;
https://www.gsmarena.com/bird_s890-1368.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s890.gif;Bird S890;Cancelled;;Feature phone;No card slot;6;N/A;62,723 hits;;128x160 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2005, Q3;Cancelled;;;Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Wallpapers, screensavers;No;1.3 MP;No;No;No;No;No;No;Proprietary;;OrganizerWorld timeVoice memo;Removable Li-Ion battery;Up to 72 h;Up to 3 h;;;
https://www.gsmarena.com/bird_s798-1367.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s798.gif;Bird S798;Cancelled;85g, 21.5mm thickness;Feature phone;No card slot;5;N/A;54,104 hits;;128x128 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;;No;2005, Q3;Cancelled;83.5 x 45.5 x 21.5 mm (3.29 x 1.79 x 0.85 in);85 g (3.00 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;Wallpapers, screensavers;No;No;;;No;No;No;FM radio;;;MP3/MP4 playerPredictive text inputPhoto editorOrganizer;Removable Li-Ion battery;Up to 100 h;Up to 3 h;;;
https://www.gsmarena.com/bird_s698-1366.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s698.gif;Bird S698;Cancelled;73g, 44mm thickness;Feature phone;No card slot;5;N/A;55,945 hits;;128x128 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;;No;2005, Q3;Cancelled;104.3 x 15.7 x 44 mm (4.11 x 0.62 x 1.73 in);73 g (2.57 oz);Mini-SIM;CSTN, 65K colors;;128 x 128 pixels, 1:1 ratio;Wallpapers, screensavers;No;No;;;No;No;No;No;;;Organizer;Removable Li-Ion battery;Up to 75 h;Up to 3 h;;;
https://www.gsmarena.com/bird_s198-1365.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s198.gif;Bird S198;Cancelled;73g, 15mm thickness;Feature phone;No card slot;6;N/A;55,928 hits;;112x64 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;;No;2005, Q3;Cancelled;104.3 x 42.6 x 15 mm (4.11 x 1.68 x 0.59 in);73 g (2.57 oz);Mini-SIM;CSTN, Mono;;112 x 64 pixels, 16:9 ratio;;No;No;;;No;No;No;No;;;Organizer;Removable Li-Ion battery;Up to 72 h;Up to 3 h;4 - Black, White, Green, Red;;
https://www.gsmarena.com/bird_s299-1364.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s299.gif;Bird S299;Released 2005, Q2;70g, 14mm thickness;Feature phone;No card slot;6;N/A;59,141 hits;;112x80 pixels; ;;900 mAh Li-Ion;GSM 900 / 1800;Yes;No;2005, Q2;Discontinued;104 x 44 x 14 mm (4.09 x 1.73 x 0.55 in);70 g (2.47 oz);Mini-SIM;CSTN, Mono;;112 x 80 pixels;;No;No;;;No;No;No;FM radio;;;MP3 playerChangeable front and back coversiTapVoice memoOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 3 h;Black;;
https://www.gsmarena.com/bird_mp300-1282.php;https://fdn2.gsmarena.com/vv/bigpic/bird-w1.gif;Bird MP300;Cancelled;100g, 19.5mm thickness;Feature phone;128MB storage, no card slot;6;N/A;98,848 hits;;120x160 pixels; ;;1620 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, Q3;Cancelled;108 x 44 x 19.5 mm (4.25 x 1.73 x 0.77 in);100 g (3.53 oz);Mini-SIM;TFT, 65K colors;;120 x 160 pixels, 4:3 ratio;Wallpaper, animated screensaver;No;VGA;No;No;No;No;No;No;Proprietary;;MP3/Midi PlayerPredictive text inputCalculatorVoice memo;Removable Li-Ion battery;Up to 72 h;Up to 3 h;Silver, Black;128MB;
https://www.gsmarena.com/bird_m19-1283.php;https://fdn2.gsmarena.com/vv/bigpic/bird-m12.gif;Bird M19;Cancelled;82g, 15.2mm thickness;Feature phone;32MB storage, no card slot;7;N/A;64,222 hits;;128x160 pixels; ;;1620 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2005, Q3;Cancelled;106 x 44 x 15.2 mm (4.17 x 1.73 x 0.60 in);82 g (2.89 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;;No;VGA;No;No;No;No;No;No;Proprietary;;MP3 PlayerPredictive text inputVoice memoCalculatorCurrency convertor;Removable Li-Ion battery;Up to 150 h;Up to 4 h;Silver;32MB;
https://www.gsmarena.com/bird_v109-1284.php;https://fdn2.gsmarena.com/vv/bigpic/bird-v109.gif;Bird V109;Cancelled;85g, 21.7mm thickness;Feature phone;No card slot;5;N/A;56,524 hits;;128x160 pixels; ;;1620 mAh Li-Ion;GSM 900 / 1800;Class 8;No;2005, Q3;Cancelled;82.9 x 43 x 21.7 mm (3.26 x 1.69 x 0.85 in);85 g (3.00 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second external OLED mono display (96 x 64 pixels);No;1.3 MP;Yes;No;No;No;No;No;;;Predictive text inputCalculatorCurrency convertor;Removable Li-Ion battery;Up to 72 h;Up to 2 h;;;
https://www.gsmarena.com/bird_s799-1286.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s799.gif;Bird S799;Cancelled;85g, 21.5mm thickness;Feature phone;No card slot;6;N/A;71,020 hits;;120x128 pixels; ;;1620 mAh Li-Ion;GSM 900 / 1800 / 1900;;No;2005, Q3;Cancelled;83.5 x 45.5 x 21.5 mm (3.29 x 1.79 x 0.85 in);85 g (3.00 oz);Mini-SIM;CSTN, 65K colors;;120 x 128 pixels;Wallpaper, screensaver;No;No;;;No;No;No;FM radio;;;Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo;Removable Li-Ion battery;Up to 100 h;Up to 3 h;Black;;
https://www.gsmarena.com/bird_s699-1285.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s699.gif;Bird S699;Cancelled;15.7mm thickness;Feature phone;No card slot;6;N/A;55,882 hits;;120x128 pixels; ;;1620 mAh Li-Ion;GSM 900 / 1800;;No;2005, Q3;Cancelled;104.3 x 44 x 15.7 mm (4.11 x 1.73 x 0.62 in);;Mini-SIM;CSTN, 65K colors;;120 x 128 pixels;Wallpaper, screensaver;No;No;;;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 75 h;Up to 2 h;Black;;
https://www.gsmarena.com/bird_v79-1281.php;https://fdn2.gsmarena.com/vv/bigpic/bird-v79.gif;Bird V79;Released 2005, Q2;80g, 21mm thickness;Feature phone;No card slot;5;N/A;57,928 hits;;128x160 pixels; ;;1620 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2005, Q2;Discontinued;87 x 43 x 21 mm (3.43 x 1.69 x 0.83 in);80 g (2.82 oz);Mini-SIM;STN, 65K colors;;128 x 160 pixels;Second external STN mono display (96 x 64 pixels)WallpaperScreensaver;No;CIF;No;No;No;No;No;No;;;Voice memoPredictive text inputWorld TimeCalculator;Removable Li-Ion battery;Up to 100 h;Up to 3 h;Silver;;
https://www.gsmarena.com/bird_s1186-1280.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s1186.gif;Bird S1186;Released 2005, Q2;84g, 18.5mm thickness;Feature phone;No card slot;6;N/A;65,571 hits;;112x64 pixels; ;;1620 mAh Li-Ion;GSM 900 / 1800;No;No;2005, Q2;Discontinued;83 x 44 x 18.5 mm (3.27 x 1.73 x 0.73 in);84 g (2.96 oz);Mini-SIM;Virtual Colour;;112 x 64 pixels, 16:9 ratio;BacklightScreensaver;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;Up to 100 h;Up to 3 h;Silver;;
https://www.gsmarena.com/bird_s199-1231.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s199.gif;Bird S199;Released 2005, Q3;75g, 15mm thickness;Feature phone;No card slot;5;N/A;67,859 hits;;112x64 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;No;2005, Q3;Discontinued;104.3 x 42.6 x 15 mm (4.11 x 1.68 x 0.59 in);75 g (2.65 oz);Mini-SIM;CSTN, Mono;;112 x 64 pixels, 16:9 ratio;5-way navigation key;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;Up to 140 h;Up to 2 h;Silver, Black;;
https://www.gsmarena.com/bird_s789-1157.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s789.gif;Bird S789;Released 2005, Q2;80g, 13mm thickness;Feature phone;No card slot;5;N/A;77,282 hits;;128x160 pixels; ;;760 mAh Li-Ion;GSM 850 / 1800 / 1900;Class 6;No;2005, Q2;Discontinued;105 x 43 x 13 mm (4.13 x 1.69 x 0.51 in);80 g (2.82 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;;No;VGA;No;No;No;No;No;No;;;CalculatorVoice memo;Removable Li-Ion battery;Up to 72 h;Up to 2 h;Silver;;
https://www.gsmarena.com/bird_v5510-1210.php;https://fdn2.gsmarena.com/vv/bigpic/bird-v5510.gif;Bird V5510;Released 2005, Q2;66g, 20mm thickness;Feature phone;No card slot;6;N/A;65,047 hits;;128x128 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800;;No;2005, Q2;Discontinued;75 x 42 x 20 mm (2.95 x 1.65 x 0.79 in);66 g (2.33 oz);Mini-SIM;TFT, 65K colors;;128 x 128 pixels, 1:1 ratio;Second external mono display;No;No;;;No;No;No;No;;;Organizer;Removable Li-Ion battery;Up to 72 h;Up to 3 h;Silver-Blue;;
https://www.gsmarena.com/bird_dv10-1145.php;https://fdn2.gsmarena.com/vv/bigpic/bird-dv10.gif;Bird DV10;Released 2005, Q1;83g, 21.6mm thickness;Feature phone;No card slot;6;N/A;62,063 hits;;128x160 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2005, Q1;Discontinued;82.9 x 43 x 21.6 mm (3.26 x 1.69 x 0.85 in);83 g (2.93 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;;No;VGA;Yes;No;No;No;No;No;;;CalculatorVoice memo;Removable Li-Ion battery;;;Blue;;
https://www.gsmarena.com/bird_s590-1006.php;https://fdn2.gsmarena.com/vv/bigpic/bis590.gif;Bird S590;Released 2005, Q1;75g, 20mm thickness;Feature phone;No card slot;6;N/A;84,687 hits;;128x160 pixels; ;;820 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, Q1;Discontinued;107 x 44 x 20 mm (4.21 x 1.73 x 0.79 in);75 g (2.65 oz);Mini-SIM;STN, 65K colors;;128 x 160 pixels;;No;CIF;No;No;No;No;No;No;;;Calculator;Removable Li-Ion battery;Up to 140 h;Up to 5 h;Silver;;
https://www.gsmarena.com/bird_s580-1093.php;https://fdn2.gsmarena.com/vv/bigpic/bird-s580.gif;Bird S580;Released 2005, Q1;75g, 20mm thickness;Feature phone;No card slot;5;N/A;86,513 hits;;128x160 pixels; ;;750 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, Q1;Discontinued;107 x 44 x 20 mm (4.21 x 1.73 x 0.79 in);75 g (2.65 oz);Mini-SIM;STN, 65K colors;;128 x 160 pixels;Screensavers, wallpapers;No;CIF;No;No;No;No;No;No;;;Calculator;Removable Li-Ion battery;Up to 100 h;Up to  3 h;Orange, Silver;;
https://www.gsmarena.com/bird_a150-954.php;https://fdn2.gsmarena.com/vv/bigpic/bia150.gif;Bird A150;Released 2004, Q2;85g, 19mm thickness;Feature phone;No card slot;6;N/A;135,950 hits;;128x160 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;Class 4;No;2004, Q2;Discontinued;83.5 x 42 x 19 mm (3.29 x 1.65 x 0.75 in);85 g (3.00 oz);Mini-SIM;TFT, 65K colors;;128 x 160 pixels;Second external mono display;No;VGA;Yes;No;No;No;No;No;;;CalculatorVoice memo;Removable Li-Ion battery;;;Silver;;
https://www.gsmarena.com/bird_a130-984.php;https://fdn2.gsmarena.com/vv/bigpic/bia130.gif;Bird A130;Released 2004, Q4;82g, 22mm thickness;Feature phone;No card slot;6;N/A;90,320 hits;;128x160 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800;Class 4;No;2004, Q4;Discontinued;87 x 42 x 22 mm (3.43 x 1.65 x 0.87 in);82 g (2.89 oz);Mini-SIM;STN, 65K colors;;128 x 160 pixels;Second external mono display;No;VGA;No;No;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Silver;;
https://www.gsmarena.com/bird_a120-985.php;https://fdn2.gsmarena.com/vv/bigpic/bia120.gif;Bird A120;Released 2004, Q4;80g, 21mm thickness;Feature phone;No card slot;6;N/A;99,351 hits;;128x160 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800;Class 4;No;2004, Q4;Discontinued;87 x 43 x 21 mm (3.43 x 1.69 x 0.83 in);80 g (2.82 oz);Mini-SIM;STN, 65K colors;;128 x 160 pixels;Second external mono display;No;CIF;No;No;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Silver, White;;
https://www.gsmarena.com/bird_v09-990.php;https://fdn2.gsmarena.com/vv/bigpic/biv09.gif;Bird V09;Released 2004, Q2;75g, 20mm thickness;Feature phone;No card slot;7;N/A;61,912 hits;;128x160 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800;;No;2004, Q2;Discontinued;83 x 43 x 20 mm (3.27 x 1.69 x 0.79 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;;128 x 160 pixels;Second external mono display;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Red, Blue Grey;;
https://www.gsmarena.com/bird_s570-953.php;https://fdn2.gsmarena.com/vv/bigpic/bis570.gif;Bird S570;Released 2004, Q4;89g, 18.5mm thickness;Feature phone;No card slot;7;N/A;64,381 hits;;128x128 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2004, Q4;Discontinued;103 x 43 x 18.5 mm (4.06 x 1.69 x 0.73 in);89 g (3.14 oz);Mini-SIM;STN, 65K colors;;128 x 128 pixels, 1:1 ratio;;No;CIF;No;No;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Silver;;
https://www.gsmarena.com/bird_sc24-952.php;https://fdn2.gsmarena.com/vv/bigpic/bisc24.gif;Bird SC24;Released 2004, Q1;80g, 23mm thickness;Feature phone;No card slot;5;N/A;82,565 hits;;128x160 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;Class 6;No;2004, Q1;Discontinued;81 x 44 x 23 mm (3.19 x 1.73 x 0.91 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;;128 x 160 pixels;Second external mono display;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Red;;
https://www.gsmarena.com/bird_g118-956.php;https://fdn2.gsmarena.com/vv/bigpic/big118.gif;Bird G118;Released 2004, Q4;80g, 22mm thickness;Feature phone;No card slot;6;N/A;77,823 hits;;128x160 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;Class 4;No;2004, Q4;Discontinued;82 x 43 x 22 mm (3.23 x 1.69 x 0.87 in);80 g (2.82 oz);Mini-SIM;CSTN, 65K colors;;128 x 160 pixels;Second external mono display;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Red;;
https://www.gsmarena.com/bird_s1190-987.php;https://fdn2.gsmarena.com/vv/bigpic/bis1190.gif;Bird S1190;Released 2004, Q1;85g, 20mm thickness;Feature phone;No card slot;6;N/A;67,475 hits;;102x80 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q1;Discontinued;84 x 43 x 20 mm (3.31 x 1.69 x 0.79 in);85 g (3.00 oz);Mini-SIM;CSTN, 4096 colors;;102 x 80 pixels;Screensaver;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Silver;;
https://www.gsmarena.com/bird_s1180c-951.php;https://fdn2.gsmarena.com/vv/bigpic/bi1180c.gif;Bird S1180c;Released 2004, Q2;75g, 18mm thickness;Feature phone;No card slot;6;N/A;66,255 hits;;128x96 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q2;Discontinued;81 x 43 x 18 mm (3.19 x 1.69 x 0.71 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;;128 x 96 pixels, 4:3 ratio;Second external color display;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Silver;;
https://www.gsmarena.com/bird_s1160_plus-986.php;https://fdn2.gsmarena.com/vv/bigpic/bis1160p.gif;Bird S1160 Plus;Released 2004, Q3;83g, 20mm thickness;Feature phone;No card slot;8;N/A;62,787 hits;;112x64 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q3;Discontinued;85 x 44 x 20 mm (3.35 x 1.73 x 0.79 in);83 g (2.93 oz);Mini-SIM;CSTN, mono;;112 x 64 pixels, 16:9 ratio;Second external mono display;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Silver;;
https://www.gsmarena.com/bird_s1160-950.php;https://fdn2.gsmarena.com/vv/bigpic/bi1160.gif;Bird S1160;Released 2004, Q1;85g, 21mm thickness;Feature phone;No card slot;5;N/A;59,131 hits;;112x80 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;No;No;2004, Q1;Discontinued;86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in);85 g (3.00 oz);Mini-SIM;CSTN, mono;;112 x 80 pixels;Second external mono display;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Silver;;
https://www.gsmarena.com/bird_s788-988.php;https://fdn2.gsmarena.com/vv/bigpic/bis788.gif;Bird S788;Released 2004, Q2;79g, 14mm thickness;Feature phone;No card slot;6;N/A;59,406 hits;;112x80 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2004, Q2;Discontinued;115 x 45 x 14 mm (4.53 x 1.77 x 0.55 in);79 g (2.79 oz);Mini-SIM;CSTN, 4096 colors;;112 x 80 pixels;;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Grey, Red;;
https://www.gsmarena.com/bird_s288_plus-989.php;https://fdn2.gsmarena.com/vv/bigpic/bis288s.gif;Bird S288 Plus;Released 2003, Q3;65g, 12mm thickness;Feature phone;No card slot;5;N/A;63,916 hits;;112x80 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q3;Discontinued;103 x 44 x 12 mm (4.06 x 1.73 x 0.47 in);65 g (2.29 oz);Mini-SIM;CSTN, mono;;112 x 80 pixels;;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Blue, Red, Grey;;
https://www.gsmarena.com/bird_s288-949.php;https://fdn2.gsmarena.com/vv/bigpic/bis288.gif;Bird S288;Released 2003, Q3;60g, 11mm thickness;Feature phone;No card slot;5;N/A;72,061 hits;;112x80 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q3;Discontinued;105 x 42 x 11 mm (4.13 x 1.65 x 0.43 in);60 g (2.12 oz);Mini-SIM;CSTN, mono;;112 x 80 pixels;;No;No;;;No;No;No;No;;;Calculator;Removable Li-Ion battery;;;Blue, Red, Grey;;
