Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;memoryother;models;build;displayprotection;bodyother;gprstext;edge;batstandby1;battalktime1;optionalother;sar-eu;sar-us
https://www.gsmarena.com/coolpad_cool_20s-11615.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20s-5g.jpg;Coolpad Cool 20s;Released 2022, June 14;180g, 8.3mm thickness;Android 11, CoolOS 2;128GB storage, microSDXC;11;0.2%;36,576 hits;"6.58""";1080x2408 pixels;4-8 GB RAM;Dimensity 700;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 3, 5, 8, 34, 39, 40, 41;1, 28, 41, 77, 78 SA/NSA;HSPA, LTE-A, 5G;2022, June 14;Available. Released 2022, June 14;163 x 74.8 x 8.3 mm (6.42 x 2.94 x 0.33 in);180 g (6.35 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 90Hz;6.58 inches, 104.3 cm(~85.5% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Android 11, CoolOS 2;Mediatek MT6833 Dimensity 700 (7 nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC;128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM;50 MP, f/1.8 (wide), PDAF2 MP, (macro);LED flash, panorama, HDR;1080p@30fps;8 MP;HDR;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.1, A2DP, LE;GPS, GLONASS, BDS, GALILEO, QZSS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity, compass;Li-Po 4500 mAh, non-removable;Black, Blue, White;About 140 EUR;;;;;;;;;;;;
https://www.gsmarena.com/coolpad_cool_20-11620.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20.jpg;Coolpad Cool 20;Released 2021, June 01;199.6g, 8.7mm thickness;Android 11, CoolOS 2;64GB/128GB storage, microSDXC;1;0.2%;26,098 hits;"6.52""";720x1600 pixels;4/6 GB RAM;MT6769V;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 34, 39, 40, 41;;HSPA, LTE-A;2021, May 26;Available. Released 2021, June 01;164.3 x 75.7 x 8.7 mm (6.47 x 2.98 x 0.34 in);199.6 g (7.05 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.52 inches, 102.6 cm(~82.5% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 11, CoolOS 2;Mediatek MT6769V/CU Helio G80 (12 nm);Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mali-G52 MP3;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;48 MP, f/1.8 (wide), PDAF2 MP, f/2.4, (depth);LED flash, panorama, HDR;1080p@30fps;5 MP;;Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, BDS, GALILEO, QZSS;No;No;USB Type-C 2.0, OTG;Accelerometer, proximity, compass;Li-Po 4500 mAh, non-removable;Black, Blue, White;About 90 EUR;;;;;;;;;;;;
https://www.gsmarena.com/coolpad_cool_20_pro-11256.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-20-pro.jpg;Coolpad Cool 20 Pro;Released 2021, December 02;193g, 8.3mm thickness;Android 11, CoolOS 2;128GB storage, microSDXC;15;0.1%;69,593 hits;"6.58""";1080x2400 pixels;6/8 GB RAM;Dimensity 900;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE (unspecified);SA/NSA;HSPA, LTE-A, 5G;2021, December 02;Available. Released 2021, December 02;162.8 x 74.8 x 8.3 mm (6.41 x 2.94 x 0.33 in);193 g (6.81 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD, 120Hz;6.58 inches, 104.5 cm(~85.8% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~400 ppi density);Android 11, CoolOS 2;Mediatek MT6877 Dimensity 900 (6 nm);Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mali-G68 MC4;microSDXC;128GB 6GB RAM, 128GB 8GB RAM;50 MP, f/1.8 (wide), PDAF8 MP, (ultrawide)2 MP, (macro);LED flash, panorama, HDR;1080p@30fps;8 MP;HDR;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;5.1, A2DP, LE;;No;Unspecified;USB Type-C 2.0, OTG;Fingerprint (side-mounted), unspecified sensors;Li-Po 4500 mAh, non-removable;Black, Blue, White, Gold;About 250 EUR;UFS 2.2;CP05;;;;;;;;;;
https://www.gsmarena.com/coolpad_cool_10a-10836.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-10a.jpg;Coolpad Cool 10A;Released 2021, March 29;200g, 8.8mm thickness;Android 11;64GB storage, microSDXC;4;0.1%;54,999 hits;"6.52""";720x1600 pixels;2 GB RAM;Unisoc SC9863A;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;LTE (unspecified);;HSPA, LTE;2021, March 29;Available. Released 2021, March 29;165 x 76 x 8.8 mm (6.50 x 2.99 x 0.35 in);200 g (7.05 oz);Nano-SIM;IPS LCD;6.52 inches, 102.6 cm(~81.8% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);Android 11;Unisoc SC9863A (28nm);Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55);IMG8322;microSDXC (dedicated slot);64GB 2GB RAM;13 MP, (wide), AF0.3 MP, (depth);LED flash, panorama, HDR;1080p@30fps;5 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP;GPS;No;FM radio;microUSB;Fingerprint (rear-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Black, Blue, White;About 90 EUR;eMMC 5.1;;Glass front, plastic back, plastic frame;;;;;;;;;
https://www.gsmarena.com/coolpad_cool_s-10685.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-s.jpg;Coolpad Cool S;Released 2021, January 08;8.9mm thickness;Android 10;128GB storage, microSDXC;10;0.1%;84,451 hits;"6.53""";1080x2340 pixels;4 GB RAM;Helio P60;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);;HSPA, LTE;2021, January 08;Available. Released 2021, January 08;161.2 x 76.2 x 8.9 mm (6.35 x 3.00 x 0.35 in);-;Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.53 inches, 104.7 cm(~85.2% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density);Android 10;Mediatek MT6771 Helio P60 (12 nm);Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC;128GB 4GB RAM;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF8 MP, f/2.0, 120˚ (ultrawide)5 MP, f/2.0, (macro)0.3 MP, (depth)";Dual-LED flash, panorama, HDR;1080p@30fps;"25 MP, f/2.0, (wide), 1/2.78"", 0.9µm";;1080p@30fps;Yes;Yes;GPS;No;Unspecified;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity, compass;Li-Po 5000 mAh, non-removable;Moon White, Lapis Blue, Night Black;About 160 EUR;;2039;Glass front, glass back, plastic frame;;;;;;;;;
https://www.gsmarena.com/coolpad_cool_6-10513.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool6.jpg;Coolpad Cool 6;Released 2020, October 15;198g, 9.2mm thickness;Android 10;64GB/128GB storage, microSDXC;13;0.1%;98,020 hits;"6.53""";1080x2340 pixels;4/6 GB RAM;Helio P70;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;LTE (unspecified);;HSPA, LTE;2020, October 15;Available. Released 2020, October 15;162.4 x 76.5 x 9.2 mm (6.39 x 3.01 x 0.36 in);198 g (6.98 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.53 inches, 104.7 cm(~84.3% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density);Android 10;Mediatek MT6771T Helio P70 (12nm);Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mali-G72 MP3;microSDXC (uses shared SIM slot);64GB 4GB RAM, 128GB 6GB RAM;"48 MP, (wide), 1/2.0"", 0.8µm, PDAF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)";LED flash, panorama, HDR;1080p@30fps;Motorized pop-up 21 MP;;1080p@30fps;Yes;Yes;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Gray, Blue;About 130 EUR;;;;;;;;;;;;
https://www.gsmarena.com/coolpad_cool_12a-10491.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool12a.jpg;Coolpad Cool 12A;Released 2020, October 05;202.5g, 8.9mm thickness;Android;64GB storage, microSD;7;N/A;53,812 hits;"6.3""";720x1560 pixels;4 GB RAM;Spreadtrum;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;LTE (unspecified);;HSPA, LTE;2020, October 05;Available. Released 2020, October 05;156.2 x 75.2 x 8.9 mm (6.15 x 2.96 x 0.35 in);202.5 g (7.16 oz);Nano-SIM;IPS LCD;6.3 inches, 97.4 cm(~82.9% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~273 ppi density);Android;Spreadtrum;Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55);;microSD;64GB 4GB RAM;16 MP, PDAF2 MP;LED flash, panorama, HDR;1080p@30fps;8 MP;;1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.2, A2DP;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 4000 mAh, non-removable;Dream Black, Dream Blue, Fantasy Silver;About 70 EUR;eMMC 5.1;;Glass front, plastic frame, glass back;;;;;;;;;
https://www.gsmarena.com/coolpad_cool_10-10492.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool10.jpg;Coolpad Cool 10;Released 2020, June 12;202.8g, 9.1mm thickness;Android 10;64GB/128GB storage, microSD;5;N/A;51,495 hits;"6.52""";720x1600 pixels;4/6 GB RAM;Helio P30;5000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;LTE (unspecified);;HSPA, LTE;2020, June 05;Available. Released 2020, June 12;165.7 x 76.5 x 9.1 mm (6.52 x 3.01 x 0.36 in);202.8 g (7.16 oz);Nano-SIM;IPS LCD;6.52 inches, 106.6 cm(~84.1% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~264 ppi density);Android 10;Mediatek MT6758 Helio P30 (16 nm) - ChinaMediatek MT6771 Helio P60 (12 nm) - International;Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53) - ChinaOcta-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53) - International;Mali-G71 MP2;microSD;64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;16 MP, f/1.5, PDAF0.3 MP0.3 MP;LED flash, panorama, HDR;1080p@30fps;8 MP;;1080p@30fps;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;4.2, A2DP;GPS;No;Unspecified;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 5000 mAh, non-removable;Glazed Black, Seashell White, Science Blue;About 110 EUR;;SEA-A0;;;;;;;;;;
https://www.gsmarena.com/coolpad_legacy_5g-10030.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy-5g-.jpg;Coolpad Legacy 5G;Cancelled;195g, 9.5mm thickness;Android 10;64GB storage, microSD;21;N/A;136,498 hits;"6.53""";1080x2340 pixels;4 GB RAM;Snapdragon 765G 5G;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900;LTE (unspecified);SA/NSA/Sub6;HSPA, LTE-A, 5G (2+ Gbps DL);2020, January;Cancelled;165 x 77 x 9.5 mm (6.50 x 3.03 x 0.37 in);195 g (6.88 oz);Nano-SIM;IPS LCD, HDR10;6.53 inches, 104.7 cm(~82.4% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density);Android 10;Qualcomm SM7250 Snapdragon 765G 5G (7 nm);Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver);Adreno 620;microSD;64GB 4GB RAM;"48 MP, (wide), 1/2.0"", 0.8µm, PDAF8 MP, (ultrawide)";LED flash, panorama, HDR;4K@30fps, 1080p@30fps;16 MP;HDR;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS (L1+L5), GLONASS, BDS, GALILEO;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Yellow/Blue;About 360 EUR;UFS 2.1;;;;;;;;;;;
https://www.gsmarena.com/coolpad_legacy-9960.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy.jpg;Coolpad Legacy;Released 2019, May;170g, 8.4mm thickness;Android 9.0;32GB storage, microSDXC;13;0.1%;189,170 hits;"6.36""";1080x2160 pixels;3 GB RAM;Snapdragon 450;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700(AWS) / 1900;2, 4, 5, 12, 66, 71;;HSPA, LTE;2019, May;Available. Released 2019, May;165.9 x 80.5 x 8.4 mm (6.53 x 3.17 x 0.33 in);170 g (6.00 oz);Nano-SIM;IPS LCD;6.36 inches, 104.4 cm(~78.2% screen-to-body ratio);1080 x 2160 pixels, 18:9 ratio (~380 ppi density);Android 9.0 (Pie);Qualcomm SDM450 Snapdragon 450 (14 nm);Octa-core 1.8 GHz Cortex-A53;Adreno 506;microSDXC (dedicated slot);32GB 3GB RAM;16 MP, AF5 MP;LED flash, panorama, HDR;1080p@30fps;13 MP;;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;4.2, A2DP;GPS;No;FM radio;USB Type-C 2.0;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Silver;About 160 EUR;eMMC 5.1;;;Corning Gorilla Glass 3;;;;;;;;
https://www.gsmarena.com/coolpad_cool_5-9902.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-5.jpg;Coolpad Cool 5;Released 2019, October;145g, 8mm thickness;Android 9.0;64GB storage, microSDXC;9;N/A;141,408 hits;"6.22""";720x1520 pixels;4 GB RAM;Helio P22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, October;Available. Released 2019, October;157 x 76 x 8 mm (6.18 x 2.99 x 0.31 in);145 g (5.11 oz);Dual SIM (Nano-SIM, dual stand-by);IPS LCD;6.22 inches, 96.6 cm(~80.9% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~270 ppi density);Android 9.0 (Pie);Mediatek MT6762 Helio P22 (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC;64GB 4GB RAM;13 MP, AF2 MP;LED flash, panorama, HDR;1080p@30fps;"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm";;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;FM radio;USB Type-C 2.0, OTG;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;Li-Po 4000 mAh, non-removable;Gradient Blue, Midnight Blue;About 8000 INR;eMMC 5.1;;;;;;;;;;;
https://www.gsmarena.com/coolpad_cool_3_plus-9762.php;https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-3-plus.jpg;Coolpad Cool 3 Plus;Released 2019, June;135g, 8.2mm thickness;Android 9.0;16GB/32GB storage, microSDXC;3;N/A;119,205 hits;"5.71""";720x1520 pixels;2/3 GB RAM;Helio A22;3000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 6, 7, 8, 19, 20, 28;;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2019, June;Available. Released 2019, June;145.7 x 70.9 x 8.2 mm (5.74 x 2.79 x 0.32 in);135 g (4.76 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IPS LCD;5.71 inches, 81.4 cm(~78.8% screen-to-body ratio);720 x 1520 pixels, 19:9 ratio (~295 ppi density);Android 9.0 (Pie);Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);16GB 2GB RAM, 32GB 3GB RAM;13 MP, AF;LED flash, panorama, HDR;1080p@30fps;8 MP;;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct;5.0, A2DP, LE;GPS;No;No;microUSB 2.0, OTG;Fingerprint (rear-mounted), accelerometer, proximity;Li-Ion 3000 mAh, non-removable;Ocean Blue, Cherry Black;About 6000 INR;eMMC 5.1;1825-I01;;;;;;;;;;
