Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;cam1modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;colors;sar-eu;memoryother;optionalother;bodyother
https://www.gsmarena.com/ericsson_r600-283.php;https://fdn2.gsmarena.com/vv/bigpic/err600.gif;Ericsson R600;Released 2001, Q4;82g, 20mm thickness;Feature phone;No card slot;23;0.1%;402,914 hits;;5 lines; ;;650 mAh Li-Ion;GSM 900 / 1800;Yes;No;2001, Q4;Discontinued;105 x 45 x 20 mm (4.13 x 1.77 x 0.79 in);82 g (2.89 oz);Mini-SIM;Grayscale graphic;;5 lines;LCD illuminates in 3  coloursBackground pictures;No;No;No;No;No;No;;;SMS chatPredictive text inputOrganizerProfiles;Removable Li-Ion (BST-20);90 h - 150 h;2 h - 4 h;2 - Ice Blue, Luminous Champagne;0.89 W/kg (head);;;
https://www.gsmarena.com/ericsson_t68-253.php;https://fdn2.gsmarena.com/vv/bigpic/ert68.gif;Ericsson T68;Released 2001, Q4;84g, 19.5mm thickness;Feature phone;No card slot;46;0.1%;596,958 hits;;101x80 pixels; ;;500 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2001, Q4;Discontinued;101 x 48 x 19.5 mm (3.98 x 1.89 x 0.77 in);84 g (2.96 oz);Mini-SIM;CSTN, 256 colors;;101 x 80 pixels;Joystick navigationImage handling;No;No;No;1.0b;No;No;;;Predictive text inputOrganizerVoice dialingVoice answeringProfiles;Removable Li-Ion battery (BST-14);up to 300 h;up to 11 h;2 - Zirocñan Gold, Lunar Grey;;100 sec voice memo300 calendar events;Ringtones can be assigned to contacts;
https://www.gsmarena.com/ericsson_t66-282.php;https://fdn2.gsmarena.com/vv/bigpic/ert66.gif;Ericsson T66;Released 2001, Q4;59g, 17.5mm thickness;Feature phone;No card slot;15;N/A;284,324 hits;;5 lines; ;;650 mAh NiMH;GSM 900 / 1800 / 1900;No;No;2001, Q4;Discontinued;92 x 41 x 17.5 mm (3.62 x 1.61 x 0.69 in);59 g (2.08 oz);Mini-SIM;Monochrome graphic;;5 lines;;No;No;No;No;No;No;;;SMS chatPredictive text inputOrganizerProfiles;Removable NiMH battery;150 h;2 h - 5 h;2 - Purple Passion, Silver Supreme;;;;
https://www.gsmarena.com/ericsson_t65-266.php;https://fdn2.gsmarena.com/vv/bigpic/ert65.gif;Ericsson T65;Released 2001, Q4;94g, 21mm thickness;Feature phone;No card slot;34;0.1%;369,628 hits;;6 lines, 101x67 pixels; ;;540 mAh Li-Ion;GSM 900 / 1800;Yes;No;2001, Q4;Discontinued;105 x 49 x 21 mm (4.13 x 1.93 x 0.83 in);94 g (3.32 oz);Mini-SIM;Grayscale graphic;;6 lines, 101 x 67 pixels;Background pictures;No;No;No;No;No;No;;;SMS chatPredictive text inputOrganizerProfiles;Removable Li-Ion battery;160 h - 300 h;2.5 h - 11 h;3 - Cosmic Blue, Stardust Yellow, Polar Blue;;;;
https://www.gsmarena.com/ericsson_t39-252.php;https://fdn2.gsmarena.com/vv/bigpic/ert39.gif;Ericsson T39;Released 2001;86g, 18mm thickness;Feature phone;No card slot;47;0.1%;551,302 hits;;101x54 pixels, 4 lines; ;;500 mAh NiMH;GSM 900 / 1800 / 1900;Yes;No;2001;Discontinued;96 x 50 x 18 mm (3.78 x 1.97 x 0.71 in);86 g (3.03 oz);Mini-SIM;Grayscale graphic;;101 x 54 pixels, 4 lines, 17:9 ratio;;No;No;No;1.0b;No;No;;;Predictive text inputOrganizerVoice dialingVoice answeringProfilesHelptexts and shortcutsActive flip;Removable NiMH battery;up to 300 h;up to 11 h;3 - Classic Blue, Icecap Blue, Rose White;;;;
https://www.gsmarena.com/ericsson_a3618-262.php;https://fdn2.gsmarena.com/vv/bigpic/era3618.gif;Ericsson A3618;Released 2001, Q3;86g, 22mm thickness;Feature phone;No card slot;14;N/A;213,194 hits;;4 lines; ;;900 mAh NiMH;GSM 900 / 1800;No;No;2001, Q3;Discontinued;111 x 47 x 22 mm (4.37 x 1.85 x 0.87 in);86 g (3.03 oz);Mini-SIM;Monochrome graphic;;4 lines;4 background colors (red, green, blue and yellow)2 screensaversStart-up/Shut-down shows;No;No;No;No;No;No;;;Predictive text inputStopwatchProfilesOrganizer;Removable NiMH battery;90 - 155 h;2.5 - 4 h;2 - Icy Silver, Graphite Silver;;10 SMS templates;;
https://www.gsmarena.com/ericsson_t29s-225.php;https://fdn2.gsmarena.com/vv/bigpic/ert29.gif;Ericsson T29s;Released 2001, February;95g, 20mm thickness;Feature phone;No card slot;28;0.1%;323,700 hits;;101x33 pixels, 3x12 chars; ;;600 mAh NiMH;GSM 900 / 1800;No;No;2001, February;Discontinued;101 x 49 x 20 mm (3.98 x 1.93 x 0.79 in);95 g (3.35 oz);Mini-SIM;Grayscale graphic;;101 x 33 pixels, 3 x 12 chars;;No;No;No;No;No;No;;;Predictive text inputVoice dialingVoice answeringProfiles]Helptexts and shortcutsActive flip;Removable NiMH battery;150 h;7 h;2 - Amethyst Purple and Sapphire Blue;;;;
https://www.gsmarena.com/ericsson_r520m-199.php;https://fdn2.gsmarena.com/vv/bigpic/err520m.gif;Ericsson R520m;Released Q2 2001 ?;105g, 16mm thickness;Feature phone;No card slot;17;N/A;225,548 hits;;5 lines; ;;540 mAh NiMH;GSM 900 / 1800 / 1900;Yes;No;Q2 2001 ?;Discontinued;130 x 50 x 16 mm (5.12 x 1.97 x 0.63 in);105 g (3.70 oz);Mini-SIM;Monochrome graphic;;5 lines;;No;No;No;1.0b;No;No;;;Predictive text inputCode memoVoice dialVoice answerVoice memoCalculatorSpeaker with proximity switch;Removable NiMH battery;200 h;7 h 30 min;;;;;
https://www.gsmarena.com/ericsson_t20e-251.php;https://fdn2.gsmarena.com/vv/bigpic/ert20e.gif;Ericsson T20e;Released 2001;128g, 28mm thickness;Feature phone;No card slot;12;N/A;199,011 hits;;101x33 pixels, 3x12 chars; ;;500 mAh NiMH;GSM 900 / 1800;No;No;2001;Discontinued;101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in);128 g (4.52 oz);Mini-SIM;Monochrome graphic;;101 x 33 pixels, 3 x 12 chars;;No;No;No;No;No;No;;;Mobile chatSwatch Internet TimeVoice dialVoice answerCalculatorStopwatchPictures and sound in SMSStart-up shut-down showsProfilesActive flip;Removable NiMH battery;200 h;10 h;5 - Purple Wild, Blue Whirl, Lime Twist, Silver Weave, Beige Harmony;;SMS Templates;;
https://www.gsmarena.com/ericsson_a2628-226.php;https://fdn2.gsmarena.com/vv/bigpic/era2628.gif;Ericsson A2628;Released 2001;140g, 25mm thickness;Feature phone;No card slot;16;N/A;159,417 hits;;4 lines; ;;600 mAh NiMH;GSM 900 / 1800;No;No;2001;Discontinued;131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in);140 g (4.94 oz);Mini-SIM;Monochrome graphic;;4 lines;Start-up/Shut-down shows;No;No;No;No;No;No;;;Voice dialVoice answerCustom picturesStopwatchProfilesCalculatorSnap-On Covers;Removable NiMH battery;125 h;6 h;4 - Astral Blue, Pistachio Yellow, Green Pepper, Celestial black;;SMS templates;;
https://www.gsmarena.com/ericsson_t20s-211.php;https://fdn2.gsmarena.com/vv/bigpic/ert20s.gif;Ericsson T20s;Released 2000;128g, 28mm thickness;Feature phone;No card slot;21;0.1%;229,639 hits;;101x33 pixels, 3x12 chars; ;;1300 mAh NiMH;GSM 900 / 1800;No;No;2000;Discontinued;101 x 54 x 28 mm (3.98 x 2.13 x 1.10 in);128 g (4.52 oz);Mini-SIM;Monochrome graphic;;101 x 33 pixels, 3 x 12 chars;;No;No;No;No;No;No;;;Swatch Internet TimeVoice dialVoice answerCalculatorStopwatchStart-up shut-down showsProfilesActive flip;Removable NiMH battery;200 h;10 h;4 - Blue Whirl, Lime Twist, Silver Weave, Beige Harmony;;SMS Templates;;
https://www.gsmarena.com/ericsson_t36-190.php;https://fdn2.gsmarena.com/vv/bigpic/ert36b.gif;Ericsson T36;Cancelled;88g, 24mm thickness;Feature phone;No card slot;14;N/A;165,702 hits;;4 lines; ;;;GSM 900 / 1800 / 1900;No;No;2000;Cancelled;105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);88 g (3.10 oz);Mini-SIM;Grayscale graphic;;4 lines;;No;No;No;Yes;No;No;;;Predictive text inputHigh speed data transfersVoice dialingVoice answeringProfilesHelptexts and shortcutsActive flip;Removable Li-Po battery;200 h;7 h;;;;;
https://www.gsmarena.com/ericsson_r380-195.php;https://fdn2.gsmarena.com/vv/bigpic/err380b.gif;Ericsson R380;Released 2000;164g, 26mm thickness;Feature phone;No card slot;37;0.1%;393,151 hits;;Big; ;;900 mAh NiMH;GSM 900 / 1800;No;No;2000;Discontinued;130 x 50 x 26 mm (5.12 x 1.97 x 1.02 in);164 g (5.78 oz);Mini-SIM;Monochrome resistive touchscreen;;Big;Partly covered by the flip;No;No;No;No;No;No;;;EPOC operating systemOrganizerVoice dialVoice answerVoice memoCalculator;Removable NiMH battery;150 h;4 h;;;;;
https://www.gsmarena.com/ericsson_r320-194.php;https://fdn2.gsmarena.com/vv/bigpic/err320b.gif;Ericsson R320;Released 2000;99g, 15mm thickness;Feature phone;No card slot;27;0.1%;393,444 hits;;5 lines; ;;900 mAh NiMH;GSM 900 / 1800;No;No;2000;Discontinued;130 x 51 x 15 mm (5.12 x 2.01 x 0.59 in);99 g (3.49 oz);Mini-SIM;Monochrome graphic;;5 lines;;No;No;No;No;No;No;;;Voice dialVoice answerVoice memoCalculator;Removable NiMH battery;104 h;4 h 30 min;Atlantic Blue, Rock Red and Stone Purple;;;;
https://www.gsmarena.com/ericsson_r310s-200.php;https://fdn2.gsmarena.com/vv/bigpic/err310s.gif;Ericsson R310s;Released 2000;173g, 25mm thickness;Feature phone;No card slot;25;0.1%;344,475 hits;;5 lines; ;;540 mAh NiMH;GSM 900 / 1800;No;No;2000;Discontinued;131 x 53 x 25 mm (5.16 x 2.09 x 0.98 in);173 g (6.10 oz);Mini-SIM;Monochrome graphic;;5 lines;;No;No;No;No;No;No;;;CalculatorVoice memo/dial;Removable NiMH battery;160 h;6 h 48 min;Bright Orange, Nautic Blue, Aquatic Green and Peak Yellow;;;;Dust, shock and splash resistant
https://www.gsmarena.com/ericsson_a2618-193.php;https://fdn2.gsmarena.com/vv/bigpic/era2618b.gif;Ericsson A2618;Released 2000;140g, 25mm thickness;Feature phone;No card slot;14;N/A;154,293 hits;;4 lines; ;;900 mAh NiMH;GSM 900 / 1800;No;No;2000;Discontinued;131 x 51 x 25 mm (5.16 x 2.01 x 0.98 in);140 g (4.94 oz);Mini-SIM;Monochrome graphic;;4 lines;;No;No;No;No;No;No;;;Voice dial- Voice answer- Custom pictures;Removable NiMH battery;195 h;7 h;Exchangeable covers;;;;
https://www.gsmarena.com/ericsson_r250s_pro-119.php;https://fdn2.gsmarena.com/vv/bigpic/err250sb.gif;Ericsson R250s PRO;Released 2000;330g, 32mm thickness;Feature phone;No card slot;14;N/A;235,010 hits;;4 lines; ;;;GSM 900 / 1800;No;No;2000;Discontinued;148 x 59 x 32 mm (5.83 x 2.32 x 1.26 in);330 g (11.64 oz);Mini-SIM;Monochrome graphic;;4 lines;Fixed icons;No;No;No;No;No;No;;;Private Mobile Radio (PMR);Removable battery;100 h;5 h;2 - Bright Orange, Iron Green;;;;
https://www.gsmarena.com/ericsson_t28_world-118.php;https://fdn2.gsmarena.com/vv/bigpic/ert28wb.gif;Ericsson T28 World;Released 1999;83g, 15mm thickness;Feature phone;No card slot;22;0.1%;368,413 hits;;101x33 pixels, 3x12 chars; ;;500 mAh Li-Po;GSM 900 / 1900;No;No;1999;Discontinued;97 x 50 x 15 mm (3.82 x 1.97 x 0.59 in);83 g (2.93 oz);Mini-SIM;Monochrome graphic;;101 x 33 pixels, 3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;Voice dialingVoice answeringProfilesHelptexts and shortcutsActive flip;Removable Li-Po 500 mAh battery;50 h;3 h 30 min;;;;;
https://www.gsmarena.com/ericsson_t28s-117.php;https://fdn2.gsmarena.com/vv/bigpic/ert28sb.gif;Ericsson T28s;Released 1999;83g, 15mm thickness;Feature phone;No card slot;66;0.1%;454,174 hits;;101x33 pixels, 3x12 chars; ;;500 mAh Li-Po;GSM 900 / 1800;No;No;1999;Discontinued;97 x 50 x 15 mm (3.82 x 1.97 x 0.59 in);83 g (2.93 oz);Mini-SIM;Monochrome graphic;;101 x 33 pixels, 3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;Voice dialingVoice answeringProfilesHelptexts and shortcutsActive flip;Removable Li-Po 500 mAh battery;50 h;3 h 30 min;;;;;
https://www.gsmarena.com/ericsson_t18s-116.php;https://fdn2.gsmarena.com/vv/bigpic/ert18sb.gif;Ericsson T18s;Released 1999;146g, 24mm thickness;Feature phone;No card slot;25;0.1%;274,885 hits;;101x33 pixels, 3x12 chars; ;;750 mAh NiMH;GSM 900 / 1800;No;No;1999;Discontinued;105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);146 g (5.15 oz);Mini-SIM;Monochrome graphic;;101 x 33 pixels, 3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;Voice dialingVoice answering;Removable NiMH 750 mAh battery;100 h;4 h;3;;;;
https://www.gsmarena.com/ericsson_t10s-115.php;https://fdn2.gsmarena.com/vv/bigpic/ert10sb.gif;Ericsson T10s;Released 1999;135g, 24mm thickness;Feature phone;No card slot;55;0.3%;392,312 hits;;101x33 pixels, 3x12 chars; ;;750 mAh NiMH;GSM 900 / 1800;No;No;1999;Discontinued;105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);135 g (4.76 oz);Mini-SIM;Monochrome graphic;;101 x 33 pixels, 3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH 750 mAh battery;100 h;4 h;5;;;;
https://www.gsmarena.com/ericsson_a1018s-114.php;https://fdn2.gsmarena.com/vv/bigpic/er1018sb.gif;Ericsson A1018s;Released 1999;163g, 27mm thickness;Feature phone;No card slot;40;0.1%;256,820 hits;;3x12 chars; ;;800 mAh NiMH;GSM 900 / 1800;No;No;1999;Discontinued;130 x 49 x 27 mm (5.12 x 1.93 x 1.06 in);163 g (5.75 oz);Mini-SIM;Monochrome graphic;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH 800 mAh battery;80 h;265 min;;;;;
https://www.gsmarena.com/ericsson_i_888-113.php;https://fdn2.gsmarena.com/vv/bigpic/eri888b.gif;Ericsson I 888;Released 1999;195g, 22mm thickness;Feature phone;No card slot;13;N/A;106,889 hits;;3x12 chars; ;;800 mAh NiMH;GSM 900 / 1900;No;No;1999;Discontinued;130 x 49 x 22 mm (5.12 x 1.93 x 0.87 in);195 g (6.88 oz);Mini-SIM;Alphanumeric;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;Serial port;Removable NiMH 800 mAh battery;80 h;265 min;;;;;
https://www.gsmarena.com/ericsson_sh_888-112.php;https://fdn2.gsmarena.com/vv/bigpic/ersh888b.gif;Ericsson SH 888;Released 1998;195g, 22mm thickness;Feature phone;No card slot;13;N/A;157,384 hits;;3x12 chars; ;;800 mAh NiMH;GSM 900 / 1800;No;No;1998;Discontinued;130 x 49 x 22 mm (5.12 x 1.93 x 0.87 in);195 g (6.88 oz);Mini-SIM;Alphanumeric;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;Serial port;Removable NiMH 800 mAh battery;80 h;265 min;;;;;
https://www.gsmarena.com/ericsson_s_868-111.php;https://fdn2.gsmarena.com/vv/bigpic/ers868b.gif;Ericsson S 868;Released 1998;172g, 21mm thickness;Feature phone;No card slot;15;N/A;129,099 hits;;3x12 chars; ;;800 mAh NiMH;GSM 900 / 1800;No;No;1998;Discontinued;130 x 49 x 21 mm (5.12 x 1.93 x 0.83 in);172 g (6.07 oz);Mini-SIM;Alphanumeric;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH 800 mAh battery;80 h;265 min;;;;;
https://www.gsmarena.com/ericsson_gf_788e-110.php;https://fdn2.gsmarena.com/vv/bigpic/erg788eb.gif;Ericsson GF 788e;Released 1997;135g, 24mm thickness;Feature phone;No card slot;9;N/A;106,741 hits;;1x10 chars; ;;550 mAh NiMH;GSM 900;No;No;1997;Discontinued;105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);135 g (4.76 oz);Mini-SIM;Alphanumeric;;1 x 10 chars;Fixed icons;No;No;No;No;No;No;;;Customizable menu;Removable NiMH 550 mAh battery;60 h;180 min;4;;;Volume keys;
https://www.gsmarena.com/ericsson_gf_788-109.php;https://fdn2.gsmarena.com/vv/bigpic/ergf788b.gif;Ericsson GF 788;Released 1997;135g, 24mm thickness;Feature phone;No card slot;16;0.1%;141,942 hits;;1x10 chars; ;;550 mAh NiMH;GSM 900;No;No;1997;Discontinued;105 x 49 x 24 mm (4.13 x 1.93 x 0.94 in);135 g (4.76 oz);Mini-SIM;Alphanumeric;;1 x 10 chars;Fixed icons;No;No;No;No;No;No;;;Customizable menu;Removable NiMH 550 mAh battery;60 h;180 min;4;;;Volume keys;
https://www.gsmarena.com/ericsson_pf_768-108.php;https://fdn2.gsmarena.com/vv/bigpic/erpf768b.gif;Ericsson PF 768;Released 1997;135g, 23mm thickness;Feature phone;No card slot;12;N/A;111,661 hits;;1x10 chars; ;;550 mAh NiMH;GSM 1800;No;No;1997;Discontinued;105 x 49 x 23 mm (4.13 x 1.93 x 0.91 in);135 g (4.76 oz);Mini-SIM;Alphanumeric;;1 x 10 chars;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH 550 mAh battery;60 h;180 min;4;;;Volume keys;
https://www.gsmarena.com/ericsson_gf_768-107.php;https://fdn2.gsmarena.com/vv/bigpic/ergf768b.gif;Ericsson GF 768;Released 1997;135g, 23mm thickness;Feature phone;No card slot;29;0.1%;178,634 hits;;1x10 chars; ;;550 mAh NiMH;GSM 900;No;No;1997;Discontinued;105 x 49 x 23 mm (4.13 x 1.93 x 0.91 in);135 g (4.76 oz);Mini-SIM;Alphanumeric;;1 x 10 chars;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH 550 mAh battery;60 h;180 min;4;;;Volume keys;
https://www.gsmarena.com/ericsson_gh_688-106.php;https://fdn2.gsmarena.com/vv/bigpic/ergh688b.gif;Ericsson GH 688;Released 1996;160g, 23mm thickness;Feature phone;No card slot;35;0.1%;241,017 hits;;3x12 chars; ;;1200 mAh NiMH;GSM 900;No;No;1996;Discontinued;130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in);160 g (5.64 oz);Mini-SIM;Alphanumeric;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;ScratchpadCalculator;Removable NiMH 1200 mAh battery;96 h;240 min;;;;;
https://www.gsmarena.com/ericsson_ga_628-105.php;https://fdn2.gsmarena.com/vv/bigpic/erga628b.gif;Ericsson GA 628;Released 1996;160g, 28mm thickness;Feature phone;No card slot;55;0.2%;347,580 hits;;1x12 chars; ;;1000 mAh NiMH;GSM 900;No;No;1996;Discontinued;130 x 49 x 28 mm (5.12 x 1.93 x 1.10 in);160 g (5.64 oz);Mini-SIM;Alphanumeric;;1 x 12 chars;Fixed icons;No;No;No;No;No;No;;;ScratchpadReplaceable front panel;Removable NiMH 1000 mAh battery;83 h;125 min;;;;;
https://www.gsmarena.com/ericsson_gf_388-104.php;https://fdn2.gsmarena.com/vv/bigpic/ergf388b.gif;Ericsson GF 388;Released 1995;170g, 23mm thickness;Feature phone;No card slot;12;N/A;102,294 hits;;3x12 chars; ;;915 mAh NiMH;GSM 900;No;No;1995;Discontinued;130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in);170 g (6.00 oz);Mini-SIM;Alphanumeric;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;Calculator;Removable NiMH 915 mAh battery;37 h;125 min;;;;;
https://www.gsmarena.com/ericsson_gh_388-103.php;https://fdn2.gsmarena.com/vv/bigpic/ergh388b.gif;Ericsson GH 388;Released 1995;170g, 23mm thickness;Feature phone;No card slot;19;0.1%;193,944 hits;;3x12 chars; ;;915 mAh NiMH;GSM 900;No;No;1995;Discontinued;130 x 49 x 23 mm (5.12 x 1.93 x 0.91 in);170 g (6.00 oz);Mini-SIM;Alphanumeric;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;Calculator;Removable NiMH 915 mAh battery;37 h;125 min;;;;;
https://www.gsmarena.com/ericsson_gs_337-102.php;https://fdn2.gsmarena.com/vv/bigpic/ergs337b.gif;Ericsson GS 337;Released 1995;193g, 24mm thickness;Feature phone;No card slot;9;N/A;96,599 hits;;3x12 chars; ;;915 mAh NiMH;GSM 900;No;No;1995;Discontinued;130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in);193 g (6.81 oz);Mini-SIM;Alphanumeric;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH 915 mAh battery;25 h;110 min;;;;;
https://www.gsmarena.com/ericsson_gf_337-101.php;https://fdn2.gsmarena.com/vv/bigpic/ergf337b.gif;Ericsson GF 337;Released 1995;193g, 24mm thickness;Feature phone;No card slot;12;N/A;95,636 hits;;3x12 chars; ;;915 mAh NiMH;GSM 900;No;No;1995;Discontinued;130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in);193 g (6.81 oz);Mini-SIM;Alphanumeric;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH 915 mAh battery;25 h;110 min;;;;;
https://www.gsmarena.com/ericsson_gh_337-100.php;https://fdn2.gsmarena.com/vv/bigpic/ergh337b.gif;Ericsson GH 337;Released 1995;193g, 24mm thickness;Feature phone;No card slot;19;0.1%;193,944 hits;;3x12 chars; ;;915 mAh NiMH;GSM 900;No;No;1995;Discontinued;130 x 49 x 24 mm (5.12 x 1.93 x 0.94 in);193 g (6.81 oz);Mini-SIM;Alphanumeric;;3 x 12 chars;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH 915 mAh battery;25 h;110 min;;;;;
https://www.gsmarena.com/ericsson_ga_318-99.php;https://fdn2.gsmarena.com/vv/bigpic/erga318b.gif;Ericsson GA 318;Released 1995;248g, 32mm thickness;Feature phone;No card slot;14;0.1%;173,944 hits;;1x12 chars; ;;1200 mAh NiMH;GSM 900;No;No;1995;Discontinued;130 x 49 x 32 mm (5.12 x 1.93 x 1.26 in);248 g (8.75 oz);Mini-SIM;Alphanumeric;;1 x 12 chars;Fixed icons;No;No;No;No;No;No;;;Scratchpad;Removable NiMH 1200 mAh battery;67 h;200 min;3;;;;
https://www.gsmarena.com/ericsson_gs_18-98.php;https://fdn2.gsmarena.com/vv/bigpic/ergs18b.gif;Ericsson GS 18;Released 1996;215g, 24mm thickness;Feature phone;No card slot;6;N/A;84,664 hits;;4x12 chars; ;;1200 mAh NiMH;GSM 900;No;No;1996;Discontinued;147 x 60 x 24 mm (5.79 x 2.36 x 0.94 in);215 g (7.58 oz);Mini-SIM;Alphanumeric;;4 x 12 chars;Fixed icons;No;No;No;No;No;No;;;Radio link protocolSerial port;Removable NiMH 1200 mAh battery;36 h;180 min;;;;;
https://www.gsmarena.com/ericsson_go_118-97.php;https://fdn2.gsmarena.com/vv/bigpic/ergo118b.gif;Ericsson GO 118;Released 1995;215g, 18mm thickness;Feature phone;No card slot;9;N/A;91,433 hits;;4x12 chars; ;;1200 mAh NiMH;GSM 900;No;No;1995;Discontinued;145 x 59 x 18 mm (5.71 x 2.32 x 0.71 in);215 g (7.58 oz);Mini-SIM;Alphanumeric;;4 x 12 chars;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH 1200 mAh battery;36 h;180 min;;;;;
https://www.gsmarena.com/ericsson_gh_218-96.php;https://fdn2.gsmarena.com/vv/bigpic/ergh218b.gif;Ericsson GH 218;Released 1994;36mm thickness;Feature phone;No card slot;21;N/A;171,036 hits;;1 line; ;;650 mAh NiMH;GSM 900;No;No;1994;Discontinued;130 x 49 x 36 mm (5.12 x 1.93 x 1.42 in);;Mini-SIM;Alphanumeric;;1 line;Fixed icons;No;No;No;No;No;No;;;;Removable NiMH battery;47 h;2 h 40 min;;;;;
