Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;build;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;displayother;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;featuresother;batdescription1;colors;models;price;tbench;batlife;gprstext;edge;batstandby1;battalktime1;batmusicplayback1;sar-us;sar-eu
https://www.gsmarena.com/google_pixel_7_pro-11908.php;https://fdn2.gsmarena.com/vv/bigpic/google-pixel7-pro-new.jpg;Google Pixel 7 Pro;Released 2022, October 13;212g, 8.9mm thickness;Android 13;128GB/256GB/512GB storage, no card slot;491;25%;2,303,282 hits;"6.7""";1440x3120 pixels;8/12 GB RAM;Google Tensor G2;5000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 42, 46, 48, 66, 71 - GE2AE;1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 28, 30, 38, 40, 41, 48, 66, 71, 77, 78, 257, 258, 260, 261 SA/NSA/Sub6/mmWave - GE2AE;HSPA, LTE-A (CA), 5G;2022, October 06;Available. Released 2022, October 13;162.9 x 76.6 x 8.9 mm (6.41 x 3.02 x 0.35 in);212 g (7.48 oz);Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame;Nano-SIM and eSIM;IP68 dust/water resistant (up to 1.5m for 30 min);LTPO AMOLED, 120Hz, HDR10+, 1000 nits (HBM), 1500 nits (peak);6.7 inches, 110.6 cm(~88.7% screen-to-body ratio);1440 x 3120 pixels, 19.5:9 ratio (~512 ppi density);Corning Gorilla Glass Victus;Always-on display;Android 13;Google Tensor G2 (5 nm);Octa-core (2x2.85 GHz Cortex-X1 & 2x2.35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55);Mali-G710 MP7;No;128GB 8GB RAM, 256GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;UFS 3.1;"50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, multi-directional PDAF, Laser AF, OIS48 MP, f/3.5, 120mm (telephoto), 1/2.55"", 0.7µm, multi-directional PDAF, OIS, 5x optical zoom12 MP, f/2.2, 126˚ (ultrawide), 1/2.9"", 1.25µm, AF";Dual-LED flash, Pixel Shift, Auto-HDR, panorama;"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR";"10.8 MP, f/2.2, 21mm (ultrawide), 1/3.1"", 1.22µm";Auto-HDR, panorama;4K@30/60fps, 1080p@30/60fps;Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct;5.2, A2DP, LE, aptX HD;GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);Yes;No;USB Type-C 3.2;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer;Ultra Wideband (UWB) support;Li-Ion 5000 mAh, non-removable;Obsidian, Snow, Hazel;GP4BC, GE2AE;;AnTuTu: 796369 (v9)GeekBench: 3187 (v5.1)GFXBench: 34fps (ES 3.1 onscreen);;;;;;;;
https://www.gsmarena.com/google_pixel_7-11903.php;https://fdn2.gsmarena.com/vv/bigpic/google-pixel7-new.jpg;Google Pixel 7;Released 2022, October 13;197g, 8.7mm thickness;Android 13;128GB/256GB storage, no card slot;284;20%;1,531,306 hits;"6.3""";1080x2400 pixels;8 GB RAM;Google Tensor G2;4355 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 40, 41, 42, 46, 48, 66, 71 - GQML3;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 40, 41, 46, 48, 66, 71, 260, 261 SA/NSA/Sub6/mmWave - GQML3;HSPA, LTE-A (CA), 5G;2022, October 06;Available. Released 2022, October 13;155.6 x 73.2 x 8.7 mm (6.13 x 2.88 x 0.34 in);197 g (6.95 oz);Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame;Nano-SIM and eSIM;IP68 dust/water resistant (up to 1.5m for 30 min);AMOLED, 90Hz, HDR10+, 1000 nits (HBM), 1400 nits (peak);6.3 inches, 96.7 cm(~84.9% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~416 ppi density);Corning Gorilla Glass Victus;Always-on display;Android 13;Google Tensor G2 (5 nm);Octa-core (2x2.85 GHz Cortex-X1 & 2x2.35 GHz Cortex-A78 & 4x1.80 GHz Cortex-A55);Mali-G710 MP7;No;128GB 8GB RAM, 256GB 8GB RAM;UFS 3.1;"50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, multi-directional PDAF, Laser AF, OIS12 MP, f/2.2, 114˚ (ultrawide), 1/2.9"", 1.25µm";Dual-LED flash, Pixel Shift, Auto-HDR, panorama;"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS, 10-bit HDR";"10.8 MP, f/2.2, 21mm (ultrawide), 1/3.1"", 1.22µm";Auto-HDR, panorama;4K@30/60fps, 1080p@30/60fps;Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct;5.2, A2DP, LE, aptX HD;GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);Yes;No;USB Type-C 3.2;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer;;Li-Ion 4355 mAh, non-removable;Obsidian, Lemongrass, Snow;GVU6C, GQML3;;AnTuTu: 813114 (v9)GeekBench: 3288 (v5.1)GFXBench: 59fps (ES 3.1 onscreen);;;;;;;;
https://www.gsmarena.com/google_pixel_watch-11546.php;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-watch-.jpg;Google Pixel Watch;Released 2022, October 13;36g, 12.3mm thickness;Android Wear OS 3.5;32GB storage, no card slot;81;2.1%;271,717 hits;"1.2""";450x450 pixels;2 GB RAM;Exynos 9110;294 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 4, 5, 12, 13, 17, 25, 26, 66, 71 - GWT9R;;HSPA, LTE;2022, October 06;Available. Released 2022, October 13;41 x 41 x 12.3 mm (1.61 x 1.61 x 0.48 in);36 g (1.27 oz);Glass front (Gorilla Glass 5), stainless steel frame;eSIM;50m/5ATM water resistant (IP68)ECG certified;AMOLED, 1000 nits (peak);1.2 inches;450 x 450 pixels (~320 ppi density);Corning Gorilla Glass 5;Always-on display;Android Wear OS 3.5;Exynos 9110 (10 nm);Dual-core 1.15 GHz Cortex-A53;Mali-T720;No;32GB 2GB RAM;eMMC;No;;;;;;Wi-Fi 802.11 b/g/n;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;No;No;Accelerometer, gyro, heart rate, altimeter, compass, SpO2;;Li-Ion 294 mAh, non-removable;Matte Black, Polished Silver, Champagne Gold;GQF4C, GBZ4S, GWT9R;;;;;;;;;;
https://www.gsmarena.com/google_pixel_6a-11229.php;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6a.jpg;Google Pixel 6a;Released 2022, July 21;178g, 8.9mm thickness;Android 12, up to Android 13;128GB storage, no card slot;414;22%;3,169,018 hits;"6.1""";1080x2400 pixels;6 GB RAM;Google Tensor;4410 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 42, 48, 66, 71 - GX7AS, GB62Z (USA/Canada);1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 30, 38, 40, 41, 48, 66, 71, 77, 78 SA/NSA/Sub6 - GX7AS (USA/Canada);HSPA, LTE-A (CA), 5G;2022, May 11;Available. Released 2022, July 21;152.2 x 71.8 x 8.9 mm (5.99 x 2.83 x 0.35 in);178 g (6.28 oz);Glass front (Gorilla Glass 3), aluminum frame, plastic back;Nano-SIM and eSIM;IP67 dust/water resistant (up to 1m for 30 min);OLED, HDR;6.1 inches, 90.7 cm(~83.0% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~429 ppi density);Corning Gorilla Glass 3;Always-on display;Android 12, upgradable to Android 13;Google Tensor (5 nm);Octa-core (2x2.80 GHz Cortex-X1 & 2x2.25 GHz Cortex-A76 & 4x1.80 GHz Cortex-A55);Mali-G78 MP20;No;128GB 6GB RAM;UFS 3.1;"12.2 MP, f/1.7, 27mm, (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm";Dual-LED flash, Pixel Shift, Auto-HDR, panorama;"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS";8 MP, f/2.0, 24mm (wide), 1.12µm;Auto-HDR, panorama;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.2, A2DP, LE;GPS, GLONASS, GALILEO, QZSS;Yes;No;USB Type-C 3.1;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer;;Li-Po 4410 mAh, non-removable;Chalk, Charcoal, Sage;GX7AS, GB62Z, G1AZG;;;;;;;;;;
https://www.gsmarena.com/google_pixel_6_pro-10918.php;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6-pro.jpg;Google Pixel 6 Pro;Released 2021, October 28;210g, 8.9mm thickness;Android 12, up to Android 13;128GB/256GB/512GB storage, no card slot;947;12%;4,802,396 hits;"6.7""";1440x3120 pixels;12 GB RAM;Google Tensor;5003 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 38, 39, 40, 41, 42, 46, 48, 66, 71 - GLUOG, G8VOU;1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 28, 30, 38, 40, 41, 48, 66, 71, 77, 78, 257, 258, 260, 261 SA/NSA/Sub6/mmWave - G8VOU;HSPA, LTE-A (CA), 5G;2021, October 19;Available. Released 2021, October 28;163.9 x 75.9 x 8.9 mm (6.45 x 2.99 x 0.35 in);210 g (7.41 oz);Glass front (Gorilla Glass Victus), glass back (Gorilla Glass Victus), aluminum frame;Nano-SIM and eSIM;IP68 dust/water resistant (up to 1.5m for 30 min);LTPO AMOLED, 120Hz, HDR10+;6.7 inches, 110.6 cm(~88.9% screen-to-body ratio);1440 x 3120 pixels, 19.5:9 ratio (~512 ppi density);Corning Gorilla Glass Victus;Always-on display;Android 12, upgradable to Android 13;Google Tensor (5 nm);Octa-core (2x2.80 GHz Cortex-X1 & 2x2.25 GHz Cortex-A76 & 4x1.80 GHz Cortex-A55);Mali-G78 MP20;No;128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;UFS 3.1;"50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, Dual Pixel PDAF, Laser AF, OIS48 MP, f/3.5, 104mm (telephoto), 1/2"", 0.8µm, PDAF, OIS, 4x optical zoom12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm";Dual-LED flash, Pixel Shift, Auto-HDR, panorama;"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS";11.1 MP, f/2.2, 20mm (ultrawide), 1.22µm;Auto-HDR, panorama;4K@30fps, 1080p@30/60fps;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.2, A2DP, LE, aptX HD;GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);Yes;No;USB Type-C 3.1;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer;Ultra Wideband (UWB) support;Li-Ion 5003 mAh, non-removable;Cloudy White, Sorta Sunny, Stormy Black;GLUOG, G8VOU;;AnTuTu:  585485 (v8),  719815 (v9)GeekBench: 2831 (v5.1)GFXBench: 39 fps (ES 3.1 onscreen);;;;;;;;
https://www.gsmarena.com/google_pixel_6-11037.php;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6.jpg;Google Pixel 6;Released 2021, October 28;207g, 8.9mm thickness;Android 12, up to Android 13;128GB/256GB storage, no card slot;510;14%;4,058,295 hits;"6.4""";1080x2400 pixels;8 GB RAM;Google Tensor;4614 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 38, 39, 40, 41, 42, 46, 48, 66, 71 - GB7N6, G9S9B16;1, 2, 3, 5, 7, 8, 12, 14, 20, 25, 28, 30, 38, 40, 41, 48, 66, 71, 77, 78, 257, 258, 260, 261 SA/NSA/Sub6/mmWave - G9S9B;HSPA, LTE-A (CA), 5G;2021, October 19;Available. Released 2021, October 28;158.6 x 74.8 x 8.9 mm (6.24 x 2.94 x 0.35 in);207 g (7.30 oz);Glass front (Gorilla Glass Victus), glass back (Gorilla Glass 6), aluminum frame;Nano-SIM and eSIM;IP68 dust/water resistant (up to 1.5m for 30 min);AMOLED, 90Hz, HDR10+;6.4 inches, 98.9 cm(~83.4% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~411 ppi density);Corning Gorilla Glass Victus;Always-on display;Android 12, upgradable to Android 13;Google Tensor (5 nm);Octa-core (2x2.80 GHz Cortex-X1 & 2x2.25 GHz Cortex-A76 & 4x1.80 GHz Cortex-A55);Mali-G78 MP20;No;128GB 8GB RAM, 256GB 8GB RAM;UFS 3.1;"50 MP, f/1.9, 25mm (wide), 1/1.31"", 1.2µm, Dual Pixel PDAF, Laser AF, OIS12 MP, f/2.2, 17mm, 114˚ (ultrawide), 1.25µm";Dual-LED flash, Pixel Shift, Auto-HDR, panorama;"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS, OIS";8 MP, f/2.0, 24mm (wide), 1.12µm;Auto-HDR, panorama;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct;5.2, A2DP, LE, aptX HD;GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);Yes;No;USB Type-C 3.1;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer;;Li-Ion 4614 mAh, non-removable;Sorta Seafoam, Kinda Coral, Stormy Black;GB7N6, G9S9B16;;AnTuTu: 676831 (v9)GeekBench: 2899 (v5.1)GFXBench: 57fps (ES 3.1 onscreen);;;;;;;;
https://www.gsmarena.com/google_pixel_5a_5g-11059.php;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5a-5g.jpg;Google Pixel 5a 5G;Released 2021, August 26;183g, 7.6mm thickness;Android 11, up to Android 13;128GB storage, no card slot;274;5.8%;1,971,362 hits;"6.34""";1080x2400 pixels;6 GB RAM;Snapdragon 765G 5G;4680 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 38, 39, 40, 41, 42, 46, 48, 66, 71;1, 2, 5, 12, 25, 28, 41, 66, 71, 77, 78 SA/NSA/Sub6;HSPA, LTE-A (CA), 5G;2021, August 17;Available. Released 2021, August 26;154.9 x 73.7 x 7.6 mm (6.10 x 2.90 x 0.30 in);183 g (6.46 oz);Glass front (Gorilla Glass 3), aluminum frame, aluminum back;Nano-SIM and eSIM;IP67 dust/water resistant (up to 1m for 30 min);OLED, HDR;6.34 inches, 97.0 cm(~85.0% screen-to-body ratio);1080 x 2400 pixels, 20:9 ratio (~415 ppi density);Corning Gorilla Glass 3;Always-on display;Android 11, upgradable to Android 13;Qualcomm SM7250 Snapdragon 765G 5G (7 nm);Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver);Adreno 620;No;128GB 6GB RAM;;"12.2 MP, f/1.7, 27mm, (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS16 MP, f/2.2, 119˚ (ultrawide), 1.0µm";LED flash, Pixel Shift, Auto-HDR, panorama;"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS";8 MP, f/2.0, 24mm (wide), 1.12µm;Auto-HDR;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE, aptX HD;GPS, GLONASS, GALILEO, QZSS, BDS;Yes;No;USB Type-C 3.1;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer;;Li-Po 4680 mAh, non-removable;Mostly Black;;;AnTuTu: 291303 (v8)GeekBench: 1337 (v5.1)GFXBench: 19fps (ES 3.1 onscreen);;;;;;;;
https://www.gsmarena.com/google_pixel_5-10386.php;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5-5g.jpg;Google Pixel 5;Released 2020, October 15;151g, 8mm thickness;Android 11, up to Android 13;128GB storage, no card slot;689;9.6%;5,395,642 hits;"6.0""";1080x2340 pixels;8 GB RAM;Snapdragon 765G 5G;4080 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 38, 39, 40, 41, 42, 46, 48, 66, 71;1, 2, 3, 5, 7, 8, 12, 28, 41, 66, 71, 77, 78, 258, 260, 261 Sub6/mmWave - GD1YQ;HSPA, LTE-A (CA), 5G;2020, September 30;Available. Released 2020, October 15;144.7 x 70.4 x 8 mm (5.70 x 2.77 x 0.31 in);151 g (5.33 oz);Glass front (Gorilla Glass 6), aluminum back, aluminum frame;Nano-SIM and eSIM;IP68 dust/water resistant (up to 1.5m for 30 min);OLED, 90Hz, HDR10+;6.0 inches, 87.6 cm(~85.9% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~432 ppi density);Corning Gorilla Glass 6;Always-on display;Android 11, upgradable to Android 13;Qualcomm SM7250 Snapdragon 765G 5G (7 nm);Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver);Adreno 620;No;128GB 8GB RAM;UFS 2.1;"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS16 MP, f/2.2, 117˚ (ultrawide), 1.0µm";LED flash, Pixel Shift, Auto-HDR, panorama;"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS";"8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm";Auto-HDR;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE, aptX HD;GPS, GLONASS, GALILEO, QZSS, BDS;Yes;No;USB Type-C 3.1;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer;;Li-Po 4080 mAh, non-removable;Just Black, Sorta Sage;GD1YQ, GTT9Q;;;;;;;;;;
https://www.gsmarena.com/google_pixel_4a_5g-10385.php;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a-5g.jpg;Google Pixel 4a 5G;Released 2020, November 05;"168g (5G Sub-6); 171g ( 5G Sub-6 and mmWave), 8.2mm thickness";Android 11, up to Android 13;128GB storage, no card slot;248;4.0%;2,106,537 hits;"6.2""";1080x2340 pixels;6 GB RAM;Snapdragon 765G 5G;3885 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 38, 39, 40, 41, 42, 46, 48, 66, 71;1, 2, 3, 5, 7, 8, 12, 28, 41, 66, 71, 77, 78 Sub6, mmWave (market dependant);HSPA, LTE-A (CA), 5G;2020, September 30;Available. Released 2020, November 05;153.9 x 74 x 8.2 mm (Sub-6) or 8.5 mm (Sub-6 and mmWave);"168 g (5G Sub-6); 171 g ( 5G Sub-6 and mmWave) (5.93 oz)";Glass front (Gorilla Glass 3), plastic back, plastic frame;Nano-SIM and eSIM;;OLED, HDR;6.2 inches, 95.7 cm(~84.1% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~413 ppi density);Corning Gorilla Glass 3;Always-on display;Android 11, upgradable to Android 13;Qualcomm SM7250 Snapdragon 765G 5G (7 nm);Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver);Adreno 620;No;128GB 6GB RAM;UFS 2.1;"12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS16 MP, f/2.2, 107˚ (ultrawide), 1.0µm";LED flash, Pixel Shift, Auto-HDR, panorama;"4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS";"8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12µm";Auto-HDR;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE, aptX HD;GPS, GLONASS, GALILEO, QZSS, BDS;Yes;No;USB Type-C 3.1;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer;;Li-Po 3885 mAh, non-removable;Just Black, Clearly White;GD1YQ, G025I;;;;;;;;;;
