Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;gprstext;edge;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;displayother;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;colors;optionalother;batstandby1;battalktime1
https://www.gsmarena.com/innostream_inno_a20-1222.php;https://fdn2.gsmarena.com/vv/bigpic/innostream-a20.gif;Innostream INNO A20;Released 2005, July;105g, 23mm thickness;Feature phone;64MB storage, MMC slot;10;N/A;279,246 hits;;176x220 pixels; ;;780 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, July;Discontinued;93.9 x 46.4 x 23 mm (3.70 x 1.83 x 0.91 in);105 g (3.70 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;Second external display TFT, 256K colors (96 x 96 pixels);MMC;64MB (128MB optional);;2 MP;LED flash;Yes;No;No;No;No;No;Proprietary;;Predictive text inputMP3/AAC/MP4 playerVoice memoOrganizerStopwatch;Removable Li-Ion battery;;;;
https://www.gsmarena.com/innostream_inno_p10-1190.php;https://fdn2.gsmarena.com/vv/bigpic/innostream-p10.gif;Innostream INNO P10;Released 2005, June;94g, 23.8mm thickness;Feature phone;RS-MMC slot;9;N/A;186,259 hits;;128x160 pixels; ;;830 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2005, June;Discontinued;91.9 x 44 x 23.8 mm (3.62 x 1.73 x 0.94 in);94 g (3.32 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;4-way navi key;RS-MMC;;;1.3 MP;LED flash;Yes;No;No;No;No;No;;;Predictive text inputDictionary (EnglishChinese)MP3/MP4 PlayerVideo Recording (up to 90 min.)Flight ModeVoice memoBio-rhythmStopwatchOrganizer;Removable Li-Ion 830 mAh battery;Black, Silver, Red;3D Sound;Up to 200 h;Up to 6 h
https://www.gsmarena.com/innostream_inno_a10-955.php;https://fdn2.gsmarena.com/vv/bigpic/ina10.gif;Innostream INNO A10;Released 2004, Q4;86g, 24mm thickness;Feature phone;128MB storage, no card slot;10;N/A;174,366 hits;;128x160 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2004, Q4;Discontinued;90 x 43 x 24 mm (3.54 x 1.69 x 0.94 in);86 g (3.03 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels;Second external 65K colors CSTN display (96 x 64 pixels)4-way navi key;No;128MB;;1.3 MP;LED flash;Yes;No;No;No;No;No;Proprietary;;MP3/3GP playerPredictive text inputVoice memoBio-rhythmStopwatch;Removable Li-Ion battery;Silver, Blue;;Up to 160 h;Up to 4 h
https://www.gsmarena.com/innostream_inno_75-789.php;https://fdn2.gsmarena.com/vv/bigpic/ininno75.gif;Innostream INNO 75;Released 2004;80g, 23mm thickness;Feature phone;miniSD slot;8;N/A;249,083 hits;;128x128 pixels; ;;650 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2004, Q2. Released 2004;Discontinued;82.5 x 44 x 23 mm (3.25 x 1.73 x 0.91 in);80 g (2.82 oz);Mini-SIM;TFT, 65K colors;;128 x 128 pixels, 1:1 ratio;;miniSD;;;VGA;;Yes;No;No;No;No;FM radio;;;MP3/MP4 playerPredictive text inputOrganizerVoice memoRemote control for IR;Removable Li-Ion battery;;;;
https://www.gsmarena.com/innostream_inno_50-743.php;https://fdn2.gsmarena.com/vv/bigpic/ininno50.gif;Innostream INNO 50;Released 2004, Q1;90g, 22.5mm thickness;Feature phone;12MB storage, no card slot;8;N/A;150,146 hits;;176x220 pixels, 11 lines; ;;780 mAh Li-Ion;GSM 900 / 1800;Class 10;No;2004, Q1;Discontinued;88.6 x 44.5 x 22.5 mm (3.49 x 1.75 x 0.89 in);90 g (3.17 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels, 11 lines;Second external display, STN, 65K colors (96 x 96 pixels)180 deg swivelDownloadable logos;No;12MB;;1.3 MP;LED flash;Yes;No;No;No;No;No;;;Predictive text inputOrganizer;Removable Li-Ion battery;Silver;;Up to 100 h;Up to 3 h
https://www.gsmarena.com/innostream_inno_36-1228.php;https://fdn2.gsmarena.com/vv/bigpic/innostream-36.gif;Innostream INNO 36;Cancelled;76g, 23.8mm thickness;Feature phone;No card slot;7;N/A;68,018 hits;;128x143 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800;Yes;No;2005, Q2;Cancelled;80 x 43 x 23.8 mm (3.15 x 1.69 x 0.94 in);76 g (2.68 oz);Mini-SIM;TFT, 256K colors;;128 x 143 pixels;Second external STN display, 65K colors (96 x 64 pixels)Screensavers and wallpapersDownloadable pictures;No;;;VGA;;Yes;No;No;No;No;No;;;Predictive text inputOrganizerVoice memo;Removable Li-Ion battery;Silver, Red;;;
https://www.gsmarena.com/innostream_inno_79-788.php;https://fdn2.gsmarena.com/vv/bigpic/ininno79.gif;Innostream INNO 79;Released 2004, Q1;85g, 23mm thickness;Feature phone;No card slot;7;N/A;89,726 hits;;128x160 pixels, 11 lines; ;;650 mAh Li-Ion;GSM 900 / 1800;Yes;No;2004, Q1;Discontinued;84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in);85 g (3.00 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 11 lines;Second external display, OLED, 256 colorsScreensavers and wallpapersDownloadable pictures;No;;;VGA;;Yes;No;No;No;No;No;;;Predictive text inputOrganizerVoice memo;Removable Li-Ion battery;;;;
https://www.gsmarena.com/innostream_inno_78-787.php;https://fdn2.gsmarena.com/vv/bigpic/ininno78.gif;Innostream INNO 78;Released 2004, Q1;85g, 23mm thickness;Feature phone;No card slot;7;N/A;88,031 hits;;128x160 pixels, 11 lines; ;;650 mAh Li-Ion;GSM 900 / 1800;Yes;No;2004, Q1;Discontinued;84 x 43 x 23 mm (3.31 x 1.69 x 0.91 in);85 g (3.00 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 11 lines;Second external display, OLED, 65K colorsScreensavers and wallpapersDownloadable pictures;No;;;VGA;;Yes;No;No;No;No;No;;;Predictive text inputOrganizerVoice memo;Removable Li-Ion battery;;;;
https://www.gsmarena.com/innostream_inno_30-786.php;https://fdn2.gsmarena.com/vv/bigpic/ininno30.gif;Innostream INNO 30;Released 2004, Q1;76g, 21mm thickness;Feature phone;No card slot;8;N/A;113,898 hits;;128x160 pixels, 11 lines; ;;650 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004, Q1;Discontinued;82 x 42 x 21 mm (3.23 x 1.65 x 0.83 in);76 g (2.68 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 11 lines;Second external CSTN display (96 x 64 pixels), 65K colorsScreensavers and wallpapersDownloadable images;No;;;VGA;;Yes;No;No;No;No;No;;;Predictive text input (iTAP)CalculatorStopwatchVoice memo;Removable Li-Ion 650 mAh battery;;;Up to 150 h;Up to 3 h - 5 h
https://www.gsmarena.com/innostream_inno_55-785.php;https://fdn2.gsmarena.com/vv/bigpic/ininno55.gif;Innostream INNO 55;Released 2004, Q2;88g, 21.6mm thickness;Feature phone;No card slot;8;N/A;269,996 hits;;128x160 pixels, 11 lines; ;;830 mAh Li-Ion;GSM 900 / 1800 / 1900;Class 10;No;2004, Q2;Discontinued;85 x 42 x 21.6 mm (3.35 x 1.65 x 0.85 in);88 g (3.10 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 11 lines;5-way navi key;No;;;VGA;;Yes;No;No;No;No;No;;;Predictive text inputOrganizerStopwatch, Bio-rhythmVoice memoRemote control for IR;Removable Li-Ion 830 mAh battery;;;Up to 200 h;Up to 6 h
https://www.gsmarena.com/innostream_inno_70-686.php;https://fdn2.gsmarena.com/vv/bigpic/ininno70.gif;Innostream INNO 70;Released 2004, Q1;88g, 22mm thickness;Feature phone;4MB storage, no card slot;8;N/A;104,826 hits;;128x160 pixels, 11 lines; ;;780 mAh Li-Ion;GSM 900 / 1800;Yes;No;2004, Q1;Discontinued;90 x 52 x 22 mm (3.54 x 2.05 x 0.87 in);88 g (3.10 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 11 lines;Second external display, OLED, 256 colorsScreensavers and wallpapersDownloadable pictures;No;4MB;;VGA, 180 deg. rotating lens;;Yes;No;No;No;No;No;;;Predictive text inputOrganizerVoice memo;Removable Li-Ion battery;;;Up to 105 h;Up to 6 h
https://www.gsmarena.com/innostream_inno_99-735.php;https://fdn2.gsmarena.com/vv/bigpic/ininno99.gif;Innostream INNO 99;Released 2004, Q1;91g, 24mm thickness;Feature phone;No card slot;8;N/A;116,854 hits;;128x160 pixels, 11 lines; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004, Q1;Discontinued;87 x 46 x 24 mm (3.43 x 1.81 x 0.94 in);91 g (3.21 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 11 lines;Second external display, STN, 65K colors (96 x 64 pixels)7 color indicator3 color keypad backlightingScreensavers and wallpapers;No;;;VGA;;Yes;No;No;No;No;No;;;Predictive text input for English, ChineseBio-rhythmOrganizerStopwatchVoice memo;Removable Li-Ion 720 mAh battery;;Video formats: JPG, GIF, WBMP, PNGAudio formats: MIDI, MIDI, i-Melody, AMR, SMAF;Up to 100 h;Up to 6 h
https://www.gsmarena.com/innostream_inno_90-662.php;https://fdn2.gsmarena.com/vv/bigpic/ininno90.gif;Innostream INNO 90;Released 2004, Q1;88g, 26mm thickness;Feature phone;4MB storage, no card slot;9;N/A;209,370 hits;;128x160 pixels, 11 lines; ;;680 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004, Q1;Discontinued;87 x 46 x 26 mm (3.43 x 1.81 x 1.02 in);88 g (3.10 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 11 lines;Second external display, STN, 65K colors (96 x 64 pixels)7 color optic fiberlighting3 color keypad backlightingScreensavers and wallpapers;No;4MB;;VGA;;Yes;No;No;No;No;No;;;Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo;Removable Li-Ion 680 mAh battery;Pearl White, Silver;;Up to 100 h;Up to 6 h
https://www.gsmarena.com/innostream_inno_89-784.php;https://fdn2.gsmarena.com/vv/bigpic/ininno89.gif;Innostream INNO 89;Released 2004, Q1;98g, 24mm thickness;Feature phone;No card slot;9;N/A;119,913 hits;;128x160 pixels, 11 lines; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004, Q1;Discontinued;88 x 43 x 24 mm (3.46 x 1.69 x 0.94 in);98 g (3.46 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 11 lines;Second external display, STN, 65K colors (96 x 64 pixels)3 color keypad backlightingScreensavers and wallpapersDownloadable pictures;No;;;CIF;;Yes;No;No;No;No;No;;;Predictive text input (iTAP)Bio-rhythmStopwatchOrganizerVoice memo;Removable Li-Ion 720 mAh battery;silver, white, blue;Audio format: SMAF, MIDI, I-Melody and AMRImage format: WBMP, JPG, GIF and PNG;Up to 100 h;Up to 5 h
https://www.gsmarena.com/innostream_inno_80-663.php;https://fdn2.gsmarena.com/vv/bigpic/ininno80.gif;Innostream INNO 80;Released 2004, Q1;97g, 22mm thickness;Feature phone;No card slot;9;N/A;112,150 hits;;128x160 pixels, 11 lines; ;;720 mAh Li-Ion;GSM 900 / 1800 / 1900;Yes;No;2004, Q1;Discontinued;90 x 44 x 22 mm (3.54 x 1.73 x 0.87 in);97 g (3.42 oz);Mini-SIM;TFT, 256K colors;;128 x 160 pixels, 11 lines;Second external display, STN, 65K colors (96 x 64 pixels)3 color keypad backlightingScreensavers and wallpapersDownloadable pictures;No;;;CIF;;Yes;No;No;No;No;No;;;Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo;Removable Li-Ion 720 mAh battery;Black, White, Silver;;Up to 100 h;Up to 5 h
https://www.gsmarena.com/innostream_inno_120-664.php;https://fdn2.gsmarena.com/vv/bigpic/ininno120.gif;Innostream INNO 120;Released 2003, Q4;81g, 23.3mm thickness;Feature phone;No card slot;6;N/A;89,893 hits;;128x144 pixels, 10 lines; ;;740 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q4;Discontinued;80 x 44 x 23.3 mm (3.15 x 1.73 x 0.92 in);81 g (2.86 oz);Mini-SIM;LCD, 65K colors;;128 x 144 pixels, 10 lines;Second external display (64 x 80 pixels)Screensavers and wallpapers;No;;;No;;;;No;No;No;FM radio;;;Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo;Removable Li-Ion 740 mAh battery;;;Up to 100 h;Up to 5 h
https://www.gsmarena.com/innostream_inno_110-665.php;https://fdn2.gsmarena.com/vv/bigpic/ininno110.gif;Innostream INNO 110;Released 2003, Q4;80g, 20mm thickness;Feature phone;No card slot;6;N/A;84,469 hits;;128x144 pixels, 10 lines; ;;740 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q4;Discontinued;80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in);80 g (2.82 oz);Mini-SIM;LCD, 65K colors;;128 x 144 pixels, 10 lines;Second external display (64 x 80 pixels)Screensavers and wallpapers;No;;;No;;;;No;No;No;FM radio;;;Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo;Removable Li-Ion 740 mAh battery;;;Up to 100 h;Up to 5 h
https://www.gsmarena.com/innostream_inno_100-666.php;https://fdn2.gsmarena.com/vv/bigpic/ininno100.gif;Innostream INNO 100;Released 2003, Q4;80g, 20mm thickness;Feature phone;No card slot;6;N/A;95,329 hits;;128x144 pixels, 10 lines; ;;740 mAh Li-Ion;GSM 900 / 1800;No;No;2003, Q4;Discontinued;80 x 43 x 20 mm (3.15 x 1.69 x 0.79 in);80 g (2.82 oz);Mini-SIM;LCD, 65K colors;;128 x 144 pixels, 10 lines;Second external display (64 x 80 pixels)Screensavers and wallpapers;No;;;No;;;;No;No;No;FM radio;;;Predictive text input (iTAP)Bio-rhythmStopwatchCalculatorVoice memo;Removable Li-Ion 740 mAh battery;;;Up to 100 h;Up to 5 h
