Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;batstandby1;battalktime1;colors;price;memoryother;models;optionalother;sar-us;featuresother;displayother;gprstext;edge
https://www.gsmarena.com/kyocera_duraforce_pro_2-9407.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro2.jpg;Kyocera DuraForce Pro 2;Released 2018, November;243g, 13.5mm thickness;Android 8.0;64GB storage, microSDXC;35;0.4%;286,922 hits;"5.0""";1080x1920 pixels;4 GB RAM;Snapdragon 630;3240 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 3, 4, 5, 7, 13, 66;HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps;2018, November;Available. Released 2018, November;150.2 x 73.4 x 13.5 mm (5.91 x 2.89 x 0.53 in);243 g (8.25 oz);Nano-SIM;IP68 dust/water resistant (up to 2m for 30 min)MIL-STD-810G compliantPush-to-talk button;IPS LCD;5.0 inches, 68.9 cm(~62.5% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Sapphire crystal glass;Android 8.0 (Oreo);Qualcomm SDM630 Snapdragon 630 (14 nm);Octa-core 2.2 GHz Cortex-A53;Adreno 508;microSDXC (dedicated slot);64GB 4GB RAM;"13 MP, AF8 MP (ultra wide; dedicated video camera)";LED flash, HDR, panorama;4K@30fps, 1080p@30fps;5 MP;;Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS;Yes;No;USB Type-C 3.1;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;Li-Ion 3240 mAh, non-removable;Up to 312 h (3G);Up to 21 h (3G);Black;About 400 EUR;;;;;;;;
https://www.gsmarena.com/kyocera_duraforce_pro-8268.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-pro.jpg;Kyocera DuraForce Pro;Released 2016, October;230g, 12.9mm thickness;Android 6.0;32GB storage, microSDXC;18;0.2%;425,302 hits;"5.0""";1080x1920 pixels;3 GB RAM;Snapdragon 617;3240 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;2, 4, 5, 12, 25, 26, 41;HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps;2016, August. Released 2016, October;Discontinued;148.4 x 73.4 x 12.9 mm (5.84 x 2.89 x 0.51 in);230 g (8.11 oz);Nano-SIM;IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliantPush-to-talk button;IPS LCD;5.0 inches, 68.9 cm(~63.3% screen-to-body ratio);1080 x 1920 pixels, 16:9 ratio (~441 ppi density);Yes;Android 6.0 (Marshmallow);Qualcomm MSM8952 Snapdragon 617 (28 nm);Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53);Adreno 405;microSDXC (dedicated slot);32GB 3GB RAM;13 MP, AF2 MP;LED flash, HDR, panorama;1080p@30fps;5 MP;;Wi-Fi 802.11 a/b/g/n/ac/i/r/k, dual-band, Wi-Fi Direct;4.2, A2DP, LE;GPS;Yes;No;microUSB 2.0;Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer;Li-Ion 3240 mAh, non-removable;Up to 480 h (3G);Up to 19 h (3G);Black;;eMMC 5.1;E6810;;;;;;
https://www.gsmarena.com/kyocera_duraforce_xd-7699.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-duraforce-xd.jpg;Kyocera DuraForce XD;Released 2015, November;307g, 13.9mm thickness;Android 5.1;16GB storage, microSDXC;8;0.1%;213,943 hits;"5.7""";720x1280 pixels;2 GB RAM;Snapdragon 400;3700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100 - AT&T, T-Mobile;1, 2, 3, 4, 5, 7, 17, 20, 29 - AT&T;HSPA, LTE;2015, October. Released 2015, November;Discontinued;166.8 x 86.4 x 13.9 mm (6.57 x 3.40 x 0.55 in);307 g (10.83 oz);Nano-SIM;IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliant;IPS LCD;5.7 inches, 89.6 cm(~62.1% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~258 ppi density);Yes;Android 5.1 (Lollipop);Qualcomm MSM8928 Snapdragon 400 (28 nm);Quad-core 1.6 GHz Cortex-A7;Adreno 305;microSDXC (dedicated slot);16GB 2GB RAM;8 MP, AF;LED flash, HDR, panorama;1080p@30fps;2 MP;;Wi-Fi 802.11 a/b/g/n/ac//r/k, dual-band, Wi-Fi Direct, hotspot;4.1, A2DP, EDR, LE;GPS;Yes;No;microUSB 2.0;Accelerometer, gyro, proximity, compass, barometer;Li-Ion 3700 mAh, removable;Up to 816 h (3G);Up to 23 h (3G);Black;;eMMC 4.5;;;;;;;
https://www.gsmarena.com/kyocera_duraforce-6829.php;https://fdn2.gsmarena.com/vv/bigpic/Kyocera-DuraForce2.jpg;Kyocera DuraForce;Released 2014, November;200g, 14mm thickness;Android 4.4.2;16GB storage, microSDHC;10;0.1%;408,888 hits;"4.5""";720x1280 pixels;2 GB RAM;Snapdragon 400;3100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;1, 2, 4, 5, 7, 17;HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps;2014, November. Released 2014, November;Discontinued;136.9 x 70.6 x 14 mm (5.39 x 2.78 x 0.55 in);200 g (7.05 oz);Nano-SIM;IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliant;IPS LCD;4.5 inches, 55.8 cm(~57.8% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~326 ppi density);Yes;Android 4.4.2 (KitKat);Qualcomm MSM8928 Snapdragon 400 (28 nm);Quad-core 1.4 GHz Cortex-A7;Adreno 305;microSDHC (dedicated slot);16GB 2GB RAM;8 MP, AF;LED flash, HDR, panorama;1080p@30fps;2 MP;;Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot;4.0, A2DP, EDR, LE;GPS;Yes;No;microUSB 2.0;Accelerometer, proximity, compass, barometer;Li-Ion 3100 mAh, non-removable;Up to 504 h;Up to 17 h;Black;About 320 EUR;eMMC 4.5;;Smart Sonic Receiver;;;;;
https://www.gsmarena.com/kyocera_hydro_life-6598.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-life.jpg;Kyocera Hydro Life;Released 2014, August;136g, 10.9mm thickness;Android 4.3;8GB storage, microSDHC;7;N/A;250,917 hits;"4.5""";540x960 pixels;1.5 GB RAM;Snapdragon 200;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 1700 / 1900 / 2100;;HSPA 21.1/5.76 Mbps;2014, August. Released 2014, August;Discontinued;131.8 x 65.4 x 10.9 mm (5.19 x 2.57 x 0.43 in);136 g (4.80 oz);Micro-SIM;IP57 dust/water resistant (up to 1m. and 30 min)MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant;IPS LCD;4.5 inches, 55.8 cm(~64.8% screen-to-body ratio);540 x 960 pixels, 16:9 ratio (~245 ppi density);Yes;Android 4.3 (Jelly Bean);Qualcomm MSM8212 Snapdragon 200 (28 nm);Quad-core 1.2 GHz Cortex-A7;Adreno 302;microSDHC (dedicated slot);8GB 1.5GB RAM;5 MP;LED flash, HDR, panorama;720p@30fps;2 MP;;Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot;4.0, A2DP, EDR, LE;GPS;No;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2000 mAh, removable;Up to 418 h;Up to 13 h 30 min;Black;;eMMC 4.5;;Smart Sonic Receiver;;;;;
https://www.gsmarena.com/kyocera_brigadier-6602.php;https://fdn2.gsmarena.com/vv/bigpic/Kyocera-Brigadier.jpg;Kyocera Brigadier;Released 2014, July;187.1g, 13.2mm thickness;Android 4.4.2;16GB storage, microSDHC;17;0.1%;313,605 hits;"4.5""";720x1280 pixels;2 GB RAM;Snapdragon 400;3100 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;CDMA2000 1xEV-DO;4, 13;HSPA, LTE, EV-DO Rev.A 3.1 Mbps;2014, July. Released 2014, July;Discontinued;136.4 x 68.3 x 13.2 mm (5.37 x 2.69 x 0.52 in);187.1 g (6.60 oz);Nano-SIM;IP68 dust/water resistant (up to 1.5m for 30 min)MIL-STD-810G compliantFlashlight;IPS LCD;4.5 inches, 55.8 cm(~59.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~326 ppi density);Sapphire crystal glass;Android 4.4.2 (KitKat);Qualcomm Snapdragon 400 (28 nm);Quad-core 1.4 GHz Cortex-A7;Adreno 305;microSDHC (dedicated slot);16GB 2GB RAM;8 MP, AF;LED flash, panorama;1080p@30fps;2 MP;;Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, DLNA, hotspot;4.0, A2DP, EDR, LE;GPS;Yes;No;microUSB 2.0;Accelerometer, proximity, compass, barometer;Li-Ion 3100 mAh, non-removable;Up to 370 h;Up to 26 h;Black;About 300 EUR;eMMC 4.5;E6782;Smart Sonic Receiver;0.79 W/kg (head)     0.72 W/kg (body);;;;
https://www.gsmarena.com/kyocera_hydro_elite-5754.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-elite.jpg;Kyocera Hydro Elite;Released 2013, Q3;128g, 10.8mm thickness;Android 4.1.2;16GB storage, microSDHC;7;N/A;284,215 hits;"4.3""";720x1280 pixels;1.5 GB RAM;Snapdragon S4 Plus;2100 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;LTE (unspecified);HSPA, LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps;2013, Q3. Released 2013, Q3;Discontinued;122.4 x 60.4 x 10.8 mm (4.82 x 2.38 x 0.43 in);128 g (4.52 oz);Yes;IP57 dust/water resistant (up to 1m. and 30 min)MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant.;IPS LCD;4.3 inches, 51.0 cm(~68.9% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~342 ppi density);Yes;Android 4.1.2 (Jelly Bean);Qualcomm MSM8960 Snapdragon S4 Plus;Dual-core 1.5 GHz Krait;Adreno 225;microSDHC (dedicated slot);16GB 1.5GB RAM;8 MP, AF;LED flash, HDR, panorama;1080p@30fps;1.3 MP;;Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, DLNA;4.0, A2DP, EDR, LE;GPS;Yes;No;microUSB 2.0 (MHL TV-out);Accelerometer, proximity, compass;Li-Ion 2100 mAh, removable;Up to 236 h;Up to 13 h;Black;;;;;;;;;
https://www.gsmarena.com/kyocera_hydro_xtrm-5555.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-hydro-xtrm.jpg;Kyocera Hydro Xtrm;Released 2013, June;139g, 10.7mm thickness;Android 4.1.2;4GB 1GB RAM storage, microSDHC slot;0;N/A;147,284 hits;"4.0""";480x800 pixels;1 GB RAM;Snapdragon S4 Plus;2000 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;2, 4, 5, 12;LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps;2013, May. Released 2013, June;Discontinued;124 x 64 x 10.7 mm (4.88 x 2.52 x 0.42 in);139 g (4.90 oz);Yes, preinstalled;IP57 dust/water resistant (up to 1m. and 30 min)MIL-STD-810G compliant salt, dust, humidity, rain, vibration, solar radiation, transport and thermal shock resistant.;IPS LCD;4.0 inches, 45.5 cm(~57.4% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);Yes;Android 4.1.2 (Jelly Bean);Qualcomm MSM8960 Snapdragon S4 Plus;Dual-core 1.2 GHz Krait;Adreno 225;microSDHC (dedicated slot);4GB 1GB RAM;5 MP, AF;LED flash;Yes;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP, EDR, LE;GPS;No;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2000 mAh, removable;Up to 408 h;Up to 12 h 30 min;Black;;;;;;;;;
https://www.gsmarena.com/kyocera_torque_e6710-5270.php;https://fdn2.gsmarena.com/vv/bigpic/kyocera-torque-e6710.jpg;Kyocera Torque E6710;Released 2013, March;168.5g, 12.9mm thickness;Android 4.0.4;4GB storage, microSDHC slot;6;N/A;223,796 hits;"4.0""";480x800 pixels;1 GB RAM;Snapdragon S4 Plus;2500 mAh Li-Ion;CDMA 800 / 1900;CDMA2000 1xEV-DO;25;LTE Cat3 100/50 Mbps, EV-DO Rev.A 3.1 Mbps;2013, January. Released 2013, March;Discontinued;128.5 x 68.4 x 12.9 mm (5.06 x 2.69 x 0.51 in);168.5 g (5.93 oz);Non-removable;IP67 dust/water resistant (up to 1m for 30 min)MIL-STD-810G compliantIPX5, IPX7 certifiedFlashlight;IPS LCD;4.0 inches, 45.5 cm(~51.8% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~233 ppi density);- Corning Gorilla Glass 2;Android 4.0.4 (Ice Cream Sandwich);Qualcomm MSM8960 Snapdragon S4 Plus;Dual-core 1.2 GHz Krait;Adreno 225;microSDHC (dedicated slot);4GB (1GB user available), 1GB RAM;5 MP, AF;LED flash, HDR;1080p@30fps;1.3 MP;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP, EDR, LE;GPS;Yes;No;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2500 mAh, removable;;Up to 19 h;Black;About 270 EUR;;;;;;;;
