Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;build;sim;displaytype;displaysize;displayresolution;os;chipset;cpu;gpu;memoryslot;internalmemory;memoryother;cam1modules;cam1features;cam1video;cam2modules;cam2features;cam2video;optionalother;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;sar-eu;price;gprstext;edge;batstandby1;battalktime1;featuresother;bodyother
https://www.gsmarena.com/orange_neva_jet_5g-9981.php;https://fdn2.gsmarena.com/vv/bigpic/orange-neva-jet-5g.jpg;Orange Neva jet 5G;Released 2019, November;171g, 7.9mm thickness;Android 9.0, MiFavor 9.1;128GB storage, microSDXC;28;0.1%;161,107 hits;"6.47""";1080x2340 pixels;6 GB RAM;Snapdragon 855;4000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41;41, 78 NSA/Sub6;HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat18 1200/150 Mbps, 5G (2+ Gbps DL);2019, November;Available. Released 2019, November;159.2 x 73.4 x 7.9 mm (6.27 x 2.89 x 0.31 in);171 g (6.03 oz);Glass front, glass back, aluminum frame;Hybrid Dual SIM (Nano-SIM, dual stand-by);AMOLED, HDR10;6.47 inches, 102.8 cm(~87.9% screen-to-body ratio);1080 x 2340 pixels, 19.5:9 ratio (~398 ppi density);Android 9.0 (Pie), MiFavor 9.1;Qualcomm SM8150 Snapdragon 855 (7 nm);Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485);Adreno 640;microSDXC (uses shared SIM slot);128GB 6GB RAM;UFS 2.1;"48 MP, f/1.7, (wide), 1/2.0"", 0.8µm, PDAF, OIS8 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom20 MP, f/2.2, 11mm (ultrawide)";Dual-LED dual-tone flash, HDR, panorama;4K@30fps, 1080p@30fps;"20 MP, f/2.0, (wide), 1/2.8"", 1.0µm";HDR;1080p@30fps;24-bit/192kHz audio;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS;Yes;No;USB Type-C 2.0;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;Li-Ion 4000 mAh, non-removable;Blue;1.01 W/kg (head);About 900 EUR;;;;;;
https://www.gsmarena.com/orange_rono-6553.php;https://fdn2.gsmarena.com/vv/bigpic/orange-rono.jpg;Orange Rono;Released 2014;131.8g, 7.8mm thickness;Android 4.4.2;16GB storage, microSDHC;4;N/A;236,014 hits;"5.0""";720x1280 pixels;1 GB RAM;;2300 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA;;;HSPA;2014. Released 2014;Discontinued;142.3 x 70.4 x 7.8 mm (5.60 x 2.77 x 0.31 in);131.8 g (4.66 oz);;Micro-SIM;IPS LCD;5.0 inches, 68.9 cm(~68.8% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);Android 4.4.2 (KitKat);;Quad-core 1.2 GHz;;microSDHC (dedicated slot);16GB 1GB RAM;;8 MP, AF;LED flash;1080p@30fps;Yes;;;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;No;microUSB 2.0;Accelerometer, proximity;Li-Po 2300 mAh, removable;Black;;;Yes;Yes;Up to 340 h (3G);Up to 10 h (3G);;
https://www.gsmarena.com/orange_gova-6142.php;https://fdn2.gsmarena.com/vv/bigpic/orange-gova.jpg;Orange Gova;Released 2014, April;7.9mm thickness;Android 4.3;8GB storage, microSDHC;2;N/A;185,623 hits;"4.5""";540x960 pixels;1 GB RAM;;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA;LTE (unspecified);;HSPA, LTE Cat4 150/50 Mbps;2014, February. Released 2014, April;Discontinued;7.9 mm thickness;-;;Micro-SIM;IPS LCD;4.5 inches, 55.8 cm;540 x 960 pixels, 16:9 ratio (~245 ppi density);Android 4.3 (Jelly Bean);;Quad-core 1.2 GHz;;microSDHC (dedicated slot);8GB 1GB RAM;;5 MP, AF;LED flash;Yes;;;;;Wi-Fi 802.11 b/g/n, hotspot;2.0;GPS;No;No;microUSB 2.0;Accelerometer, proximity;Li-Ion 2000 mAh, removable;Black;;;Yes;Yes;;;;
https://www.gsmarena.com/orange_reyo-6143.php;https://fdn2.gsmarena.com/vv/bigpic/orange-reyo.jpg;Orange Reyo;Released 2014, February;130g, 9.1mm thickness;Android 4.2.2;4GB 1GB RAM storage, microSDHC slot;7;N/A;172,591 hits;"5.0""";480x854 pixels;1 GB RAM;MT6572M;2000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;;;HSPA;2014, February. Released 2014, February;Discontinued;143 x 72 x 9.1 mm (5.63 x 2.83 x 0.36 in);130 g (4.59 oz);;Mini-SIM;IPS LCD;5.0 inches, 68.9 cm(~66.9% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~196 ppi density);Android 4.2.2 (Jelly Bean);Mediatek MT6572M (28 nm);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 1GB RAM;;5 MP, AF;LED flash;720p@30fps;VGA;;;;Wi-Fi 802.11 b/g/n, hotspot;4.0, A2DP;GPS;No;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity, compass;Li-Ion 2000 mAh, removable;White;0.66 W/kg (head);;;;Up to 400 h;Up to 6 h 40 min;;
https://www.gsmarena.com/orange_hiro-5857.php;https://fdn2.gsmarena.com/vv/bigpic/orange-hiro.jpg;Orange Hiro;Released 2013, Q3;96g, 8mm thickness;Android 4.1;4GB 512MB RAM storage, microSDHC slot;13;N/A;299,765 hits;"4.3""";480x854 pixels;512 MB RAM;MT6572;1700 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;HSDPA 2100;;;HSPA;2013, Q3. Released 2013, Q3;Discontinued;127.1 x 62 x 8 mm (5.00 x 2.44 x 0.31 in);96 g (3.39 oz);;Yes;IPS LCD;4.3 inches, 51.0 cm(~64.7% screen-to-body ratio);480 x 854 pixels, 16:9 ratio (~228 ppi density);Android 4.1 (Jelly Bean);Mediatek MT6572 (28 nm);Dual-core 1.3 GHz Cortex-A7;Mali-400;microSDHC (dedicated slot);4GB 512MB RAM;;5 MP, AF;LED flash;720p;Yes;;;;Wi-Fi 802.11 b/g/n, hotspot;Yes;GPS;No;No;microUSB 2.0;Accelerometer, proximity;Li-Ion 1700 mAh, removable;Black;1.29 W/kg (head);;;;;;;
https://www.gsmarena.com/orange_san_diego-4588.php;https://fdn2.gsmarena.com/vv/bigpic/orange-san-diego.jpg;Orange San Diego;Released 2012, June;117g, 10mm thickness;Android 2.3.7, up to 4.0.4;16GB storage, no card slot;15;N/A;243,713 hits;"4.0""";600x1024 pixels;1 GB RAM;Intel Atom Z2460;;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1900 / 2100;;;HSPA 21.1/5.76 Mbps;2012, February. Released 2012, June;Discontinued;123 x 63 x 10 mm (4.84 x 2.48 x 0.39 in);117 g (4.13 oz);;Micro-SIM;TFT;4.0 inches, 45.0 cm(~58.1% screen-to-body ratio);600 x 1024 pixels, 16:9 ratio (~297 ppi density);Android 2.3.7 (Gingerbread), upgradable to 4.0.4 (Ice Cream Sandwich);Intel Atom Z2460;1.6 GHz;PowerVR SGX540;No;16GB (12GB user available), 1GB RAM;;8 MP, AF;LED flash;1080p@30fps;Yes;;;;Wi-Fi 802.11 b/g/n, hotspot;2.1, A2DP;GPS, A-GPS;Yes;No;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion battery;Black;;About 190 EUR;;;Up to 336 h;Up to 8 h;HDMI portMP4/H.264 playerMP3/WAV/eAAC+ playerDocument viewerPhoto editorOrganizerVoice memo/dial/commandsPredictive text input;
https://www.gsmarena.com/orange_tahiti-4427.php;https://fdn2.gsmarena.com/vv/bigpic/orange-tahiti.jpg;Orange Tahiti;Released 2012, January;390g, 10.5mm thickness;Android 3.2;8GB storage, microSDHC;4;N/A;84,228 hits;"7.0""";800x1280 pixels;512 MB RAM;Snapdragon S3;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 1900 / 2100;;;HSPA;2012, January. Released 2012, January;Discontinued;190 x 124 x 10.5 mm (7.48 x 4.88 x 0.41 in);390 g (13.76 oz);;Mini-SIM;LCD;7.0 inches, 142.1 cm(~60.3% screen-to-body ratio);800 x 1280 pixels, 16:10 ratio (~216 ppi density);Android 3.2 (Honeycomb);Qualcomm MSM8260 Snapdragon S3;Dual-core 1.2 GHz Scorpion;Adreno 220;microSDHC (dedicated slot);8GB 512MB RAM;;5 MP, AF;;Yes;Yes;;;;Wi-Fi 802.11 b/g/n, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, compass;Non-removable Li-Po 4000 mAh battery;Black/silver;;;;;Up to 192 h;Up to 6 h;HDMI portMP4/H.264/WMV playerMP3/WAV/eAAC+/WMA playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input;
https://www.gsmarena.com/orange_monte_carlo-4619.php;https://fdn2.gsmarena.com/vv/bigpic/orange-monte-carlo.jpg;Orange Monte Carlo;Released 2011;120g, 10.4mm thickness;Android 2.3;512MB RAM storage, microSDHC slot;6;N/A;184,592 hits;"4.3""";480x800 pixels;512 MB RAM;;1400 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 900 / 2100;;;HSPA;2011;Discontinued;125.9 x 67.8 x 10.4 mm (4.96 x 2.67 x 0.41 in);120 g (4.23 oz);;Mini-SIM;TFT;4.3 inches, 52.6 cm(~61.7% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~217 ppi density);Android 2.3 (Gingerbread);;800 MHz;;microSDHC (dedicated slot);512MB RAM;;5 MP, AF;LED flash;Yes;No;;;;Wi-Fi 802.11 b/g, UMA, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;No;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1400 mAh battery;Black;;;;;Up to 288 h;Up to 5 h;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerVoice memo/dialPredictive text input;
https://www.gsmarena.com/orange_san_francisco_ii-4330.php;https://fdn2.gsmarena.com/vv/bigpic/Orange-San-Francisco-II.jpg;Orange San Francisco II;Released 2011, November;120g, 10.6mm thickness;Android 2.3;512MB RAM storage, microSDHC slot;4;N/A;245,393 hits;"3.5""";480x800 pixels;512 MB RAM;;;GSM 900 / 1800 / 1900;HSDPA 900 / 1900 / 2100;;;HSPA;2011, November. Released 2011, November;Discontinued;117 x 58.5 x 10.6 mm (4.61 x 2.30 x 0.42 in);120 g (4.23 oz);;Mini-SIM;TFT, 256K colors;3.5 inches, 34.9 cm(~50.9% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~267 ppi density);Android 2.3 (Gingerbread);;800 MHz;;microSDHC (dedicated slot);512MB RAM;;5 MP, AF;LED flash;Yes;Yes;;;;Wi-Fi 802.11 b/g, hotspot;2.1, A2DP, EDR;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion battery;Black;;About 120 EUR;;;Up to 240 h;Up to 4 h 30 min;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerVoice memoPredictive text input;
https://www.gsmarena.com/orange_sydney-4617.php;https://fdn2.gsmarena.com/vv/bigpic/orange-sydney.jpg;Orange Sydney;Released 2011;100g, 12.5mm thickness;Feature phone;34MB storage, microSD slot;6;N/A;139,751 hits;"3.2""";240x400 pixels; ;;;GSM 900 / 1800;;;;;2011. Released 2011;Discontinued;102 x 50 x 12.5 mm (4.02 x 1.97 x 0.49 in);100 g (3.53 oz);;Mini-SIM;TFT resistive touchscreen, 256K colors;3.2 inches, 29.1 cm(~57.1% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~146 ppi density);;;;;microSD (dedicated slot);34MB;;3.15 MP;;Yes;No;;;;Wi-Fi 802.11 b/g;2.0, A2DP, EDR;No;;FM radio;microUSB 2.0;Accelerometer;Removable Li-Ion battery;Black, White;;;Yes;Yes;Up to 312 h;Up to 6 h;MP3/AAC+/WAV/WMA playerOrganizerVoice memoPredictive text input;
https://www.gsmarena.com/orange_miami-4616.php;https://fdn2.gsmarena.com/vv/bigpic/orange-miami.jpg;Orange Miami;Released 2011;100g, 12.5mm thickness;Feature phone;10MB storage, microSDHC slot;5;N/A;85,589 hits;"2.8""";240x400 pixels; ;;800 mAh Li-Ion;GSM 900 / 1800;;;;;2011;Discontinued;105 x 50 x 12.5 mm (4.13 x 1.97 x 0.49 in);100 g (3.53 oz);;Mini-SIM;TFT resistive touchscreen, 256K colors;2.8 inches, 22.3 cm(~42.5% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);10MB;;2 MP;;Yes;No;;;;No;2.0, A2DP;No;;Stereo FM radio;microUSB;;Removable Li-Ion 800 mAh battery;Black, Pink;0.45 W/kg (head);;Class 12;Class 12;Up to 144 h;Up to 3 h;MP3/AAC+/WAV/WMA playerOrganizerVoice memoPredictive text input;
https://www.gsmarena.com/orange_malibu-4407.php;https://fdn2.gsmarena.com/vv/bigpic/orange-malibu.jpg;Orange Malibu;Released 2011;90g, 13mm thickness;Feature phone;10MB storage, microSDHC slot;5;N/A;65,460 hits;"2.0""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;UMTS 2100;;;Yes, 384 kbps;2011;Discontinued;106 x 46 x 13 mm (4.17 x 1.81 x 0.51 in);90 g (3.17 oz);;Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~25.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);;;;;microSDHC (dedicated slot);10MB;;2 MP;;Yes;No;;;;No;2.0;No;;FM radio;miniUSB;;Removable Li-Ion 1000 mAh battery;Black;0.95 W/kg (head);;;;Up to 384 h;Up to 4 h 20 min;MP3/eAAC+ playerMP4/H.263 playerVoice memoPredictive text input;
https://www.gsmarena.com/orange_dallas-4615.php;https://fdn2.gsmarena.com/vv/bigpic/orange-dallas.jpg;Orange Dallas;Released 2011;80g, 12.4mm thickness;Feature phone;1.4MB storage, microSDHC slot;6;N/A;82,986 hits;"2.4""";240x320 pixels; ;;;GSM 900 / 1800;;;;;2011;Discontinued;109 x 46 x 12.4 mm (4.29 x 1.81 x 0.49 in);80 g (2.82 oz);;Mini-SIM;TFT;2.4 inches, 17.8 cm(~35.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);1.4MB;;VGA;;No;No;;;;No;2.0;No;;FM radio;microUSB;;Removable Li-Ion battery;Black;;;Yes;No;Up to 240 h;Up to 5 h;MP3 playerOrganizerPredictive text input;Flashlight
https://www.gsmarena.com/orange_san_francisco-4081.php;https://fdn2.gsmarena.com/vv/bigpic/orange-san-francisco.jpg;Orange San Francisco;Released 2011, Q2;130g, 11.8mm thickness;Android 2.1, up to 2.2;512MB RAM storage, microSDHC slot;7;N/A;213,741 hits;"3.5""";480x800 pixels;512 MB RAM;Snapdragon S1;1250 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 900 / 2100;;;HSPA 7.2/5.76 Mbps;2011, Q2. Released 2011, Q2;Discontinued;116 x 56.5 x 11.8 mm (4.57 x 2.22 x 0.46 in);130 g (4.59 oz);;Mini-SIM;AMOLED, 256K colors;3.5 inches, 34.9 cm(~53.2% screen-to-body ratio);480 x 800 pixels, 5:3 ratio (~267 ppi density);Android 2.1 (Eclair), upgradable to 2.2 (Froyo);Qualcomm MSM7227 Snapdragon S1;600 MHz ARM 11;Adreno 200;microSDHC (dedicated slot);512MB RAM, 512MB;;3.15 MP, AF;;Yes;No;;;;Wi-Fi 802.11 b/g;2.1, A2DP, EDR;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer, proximity, compass;Removable Li-Ion 1250 mAh battery;Black;;;;;Up to 216 h;Up to 4 h;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerVoice memoPredictive text input;
https://www.gsmarena.com/orange_stockholm-4082.php;https://fdn2.gsmarena.com/vv/bigpic/orange-stockholm.jpg;Orange Stockholm;Released 2011, Q2;130g, 13mm thickness;Android 2.2;120MB storage, microSDHC slot;4;N/A;149,872 hits;"2.8""";240x320 pixels; ;;;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;;;HSPA;2011, Q2. Released 2011, Q2;Discontinued;104 x 56 x 13 mm (4.09 x 2.20 x 0.51 in);130 g (4.59 oz);;Mini-SIM;TFT, 256K colors;2.8 inches, 24.3 cm(~41.7% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);Android 2.2 (Froyo);;;;microSDHC (dedicated slot);120MB;;3.15 MP, AF;;Yes;No;;;;Wi-Fi 802.11 b/g, UMA;2.1, A2DP;GPS;;No;microUSB 2.0;Accelerometer, proximity;Removable Li-Ion battery;Black;;;;;Up to 336 h;Up to 4 h;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerVoice memoPredictive text input;
https://www.gsmarena.com/orange_atlanta-4145.php;https://fdn2.gsmarena.com/vv/bigpic/zte-orange-atlanta.jpg;Orange Atlanta;Released 2011, Q2;84g, 11.3mm thickness;Feature phone;11MB storage, microSD slot;5;N/A;111,723 hits;"2.4""";240x320 pixels; ;;;GSM 900 / 1800 / 1900;HSDPA 900 / 2100;;;HSPA;2011, Q2. Released 2011, Q2;Discontinued;116 x 49 x 11.3 mm (4.57 x 1.93 x 0.44 in);84 g (2.96 oz);;Mini-SIM;TFT, 256K colors;2.4 inches, 17.8 cm(~31.4% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~167 ppi density);;;;;microSD (dedicated slot);11MB;;2 MP;;Yes;No;;;;No;Yes;No;;FM radio;Proprietary;;Removable Li-Ion battery;Black;0.90 W/kg (head);;;;Up to 180 h;Up to 3 h;MP4/H.263 playerMP3/WAV/eAAC+ playerOrganizerVoice memoPredictive text input;
https://www.gsmarena.com/orange_rio_ii-4084.php;https://fdn2.gsmarena.com/vv/bigpic/orange-rio-ii.jpg;Orange Rio II;Released 2011, Q2;106g, 12.5mm thickness;Feature phone;80MB storage, microSDHC slot;4;N/A;121,365 hits;"2.4""";320x240 pixels; ;;;GSM 900 / 1800 / 1900;HSDPA 900 / 1900 / 2100;;;HSPA;2011, Q2. Released 2011, Q2;Discontinued;110 x 61 x 12.5 mm (4.33 x 2.40 x 0.49 in);106 g (3.74 oz);;Mini-SIM;TFT resistive touchscreen, 256K colors;2.4 inches, 17.8 cm(~26.6% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);80MB;;3.15 MP;;Yes;No;;;;No;Yes;No;;Stereo FM radio;miniUSB;Accelerometer;Removable Li-Ion battery;White;;;;;Up to 144 h;Up to 4 h;SNS applicationsMP4/H.263 playerMP3/WAV/eAAC+ playerOrganizerVoice memoPredictive text input;
https://www.gsmarena.com/orange_barcelona-4083.php;https://fdn2.gsmarena.com/vv/bigpic/orange-barcelona.jpg;Orange Barcelona;Released 2011, Q2;115g, 9.9mm thickness;Android 2.2;microSDHC slot;9;N/A;116,161 hits;"2.6""";240x320 pixels; ;;;GSM 900 / 1800 / 1900;HSDPA 900 / 2100;;;HSPA;2011, Q2. Released 2011, Q2;Discontinued;115 x 63 x 9.9 mm (4.53 x 2.48 x 0.39 in);115 g (4.06 oz);;Mini-SIM;TFT, 256K colors;2.6 inches, 20.9 cm(~28.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio;Android 2.2 (Froyo);;;;microSDHC (dedicated slot);;;3.15 MP, AF;;Yes;No;;;;Wi-Fi 802.11 b/g;2.1, A2DP;GPS, A-GPS;;Stereo FM radio, RDS;microUSB 2.0;Accelerometer;Removable Li-Ion battery;Black;;;;;Up to 288 h;Up to 7 h;MP4/H.264 playerMP3/WAV/eAAC+ playerOrganizerVoice memoPredictive text input;
https://www.gsmarena.com/orange_rio-4618.php;https://fdn2.gsmarena.com/vv/bigpic/orange-rio.jpg;Orange Rio;Released 2011;90g, 12mm thickness;Feature phone;6MB storage, microSDHC slot;6;N/A;85,097 hits;"2.4""";320x240 pixels; ;;;GSM 900 / 1800;;;;;2011. Released 2011;Discontinued;107 x 61 x 12 mm (4.21 x 2.40 x 0.47 in);90 g (3.17 oz);;Mini-SIM;TFT resistive touchscreen, 256K colors;2.4 inches, 17.8 cm(~27.3% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);;;;;microSDHC (dedicated slot);6MB;;2 MP;;Yes;No;;;;No;Yes;No;;FM radio;miniUSB 2.0;;Removable Li-Ion battery;Black, Pink;;;Class 12;Yes;Up to 480 h;Up to 8 h;MP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memoPredictive text input;
