Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;speed;year;status;dimensions;weight;sim;displaytype;displaysize;displayresolution;memoryslot;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;radio;usb;sensors;featuresother;batdescription1;batstandby1;battalktime1;batmusicplayback1;colors;price;gprstext;edge;internalmemory;displayother;displayprotection;optionalother;memoryother;bodyother;sar-eu;os;cpu
https://www.gsmarena.com/sagem_puma_phone-3140.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-puma-phone.jpg;Sagem Puma Phone;Released 2010, August;115g, 13mm thickness;Feature phone;microSDHC slot;23;0.1%;495,529 hits;"2.8""";240x320 pixels; ;;880 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 900 / 2100;HSPA 7.2/2 Mbps;2010, February. Released 2010, August;Discontinued;102 x 56 x 13 mm (4.02 x 2.20 x 0.51 in);115 g (4.06 oz);Mini-SIM;TFT resistive touchscreen, 256K colors;2.8 inches, 24.3 cm(~42.5% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~143 ppi density);microSDHC (dedicated slot), 2 GB included;3.15 MP;LED flash;Yes;VGA;;No;2.1, A2DP;GPS, A-GPS;Stereo FM radio, RDS;2.0;Accelerometer, compass;Integrated solar cell with charge indicatorBike Tracker, Run Tracker, PedometerPUMA services;Removable Li-Ion 880 mAh battery;Up to 350 h;Up to 5 h (2G) / Up to 4 h (3G);Up to 24 h;Black;About 400 EUR;;;;;;;;;;;
https://www.gsmarena.com/sagem_my421z-2563.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my421z.jpg;Sagem my421z;Released 2008, October;95g, 14mm thickness;Feature phone;microSD slot;9;N/A;206,491 hits;"2.0""";176x220 pixels; ;;810 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, September. Released 2008, October;Discontinued;97 x 46 x 14 mm (3.82 x 1.81 x 0.55 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~28.2% screen-to-body ratio);176 x 220 pixels (~141 ppi density);microSD (dedicated slot);1.3 MP;;Yes;No;;No;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 250 h;Up to 3 h 30 min;;Black, Silver, Pink;;Yes;No;;;;;;;;;
https://www.gsmarena.com/sagem_roland_garros-2329.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-rg.jpg;Sagem Roland Garros;Released 2008, April;81g, 10.9mm thickness;Feature phone;13MB storage, microSD slot;10;N/A;221,658 hits;;120x160 pixels; ;;1300 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February. Released 2008, April;Discontinued;106.9 x 46.3 x 10.9 mm (4.21 x 1.82 x 0.43 in);81 g (2.86 oz);Mini-SIM;TFT, 65K colors;;120 x 160 pixels, 4:3 ratio;microSD (dedicated slot);1.3 MP;;No;No;;No;Yes;No;No;Proprietary;;MP3 playerPredictive text inputOrganizerVoice memo;Removable Li-Ion battery;Up to 220 h;Up to 3 h;;Black;;Yes;No;13MB;;;;;;;;
https://www.gsmarena.com/sagem_mymobiletv_2-2328.php;https://fdn2.gsmarena.com/vv/bigpic/mymobile-tv.jpg;Sagem myMobileTV 2;Released 2008, April;;Feature phone;25MB storage, microSD slot;11;N/A;301,918 hits;;240x320 pixels; ;;1300 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February. Released 2008, April;Discontinued;-;-;Mini-SIM;TFT, 256K colors;;240 x 320 pixels, 4:3 ratio;microSD (dedicated slot);2 MP;;Yes;No;;No;1.1, A2DP;No;No;Proprietary;;DVB-H receiver-decoderMP3 playerPredictive text inputOrganizerVoice memo;Removable Li-Ion battery;;Up to 5 h;;Black;;Yes;No;25MB;spin-and-rotate displayexternal 65K TFT display, 72 x 96 pixel resolution;;;;;;;
https://www.gsmarena.com/sagem_my411c_oxbow-2514.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c-oxbow.jpg;Sagem my411C Oxbow;Released 2008;87g, 16.5mm thickness;Feature phone;10MB storage, microSD slot;9;N/A;170,962 hits;;128x160 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February. Released 2008;Discontinued;91 x 46 x 16.5 mm (3.58 x 1.81 x 0.65 in);87 g (3.07 oz);Mini-SIM;CSTN, 65K colors;;128 x 160 pixels;microSD (dedicated slot);VGA;;Yes;No;;No;Yes;No;No;Proprietary;;MP3 playerOrganizerPredictive text input;Removable Li-Ion battery;Up to 210 h;Up to 3 h;;;;Yes;No;10MB;External monochrome display;;;;;;;
https://www.gsmarena.com/sagem_my855c-2304.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my855c.jpg;Sagem my855c;Released 2008;95g, 16mm thickness;Feature phone;microSD slot;8;N/A;143,538 hits;"2.0""";320x240 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 2100;HSPA 3.6/0.384 Mbps;2008, February. Released 2008;Discontinued;96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~26.3% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~200 ppi density);microSD (dedicated slot);2 MP;;Yes;VGA videocall camera;;No;2.0, A2DP;No;No;Proprietary;;Music playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 300 h;Up to 4 h 30 min;;;;;;;;;;;;;;
https://www.gsmarena.com/sagem_my810x-2512.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my810x.jpg;Sagem my810x;Cancelled;105g, 16mm thickness;Feature phone;microSDHC slot;7;N/A;135,164 hits;;176x220 pixels; ;;600 mAh Li-Ion;GSM 900 / 1800;UMTS 2100;Yes, 384 kbps;2007, October;Cancelled;104 x 48 x 16 mm (4.09 x 1.89 x 0.63 in);105 g (3.70 oz);Mini-SIM;TFT, 256K colors;;176 x 220 pixels;microSDHC (dedicated slot);1.3 MP;;Yes;VGA videocall camera;;No;1.2;No;No;1.1;;MP3 playerOrganizerVoice memoPredictive text input;Removable Li-Ion battery;Up to 280 h;Up to 5 h;;Black;;;;;;;;;;;;
https://www.gsmarena.com/sagem_my750x-2303.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my750x.jpg;Sagem my750x;Released 2008;95g, 11mm thickness;Feature phone;microSD slot;9;N/A;259,780 hits;"2.4""";320x240 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;HSDPA 2100;HSPA 3.6/0.384 Mbps;2008, February. Released 2008;Discontinued;108 x 48 x 11 mm (4.25 x 1.89 x 0.43 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;2.4 inches, 17.8 cm(~34.4% screen-to-body ratio);320 x 240 pixels, 4:3 ratio (~167 ppi density);microSD (dedicated slot);3.15 MP;LED flash;Yes;VGA videocall camera;;No;Yes;No;Stereo FM radio, RDS;Proprietary;;Music playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 300 h;Up to 4 h 30 min;;Violet, Green, Red, Blue, Orange;;;;;;;;;;;;
https://www.gsmarena.com/sagem_my721x-2302.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my721x.jpg;Sagem my721x;Released 2008, May;90g, 9.8mm thickness;Feature phone;microSD slot;8;N/A;175,636 hits;"2.0""";176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February. Released 2008, May;Discontinued;112 x 48 x 9.8 mm (4.41 x 1.89 x 0.39 in);90 g (3.17 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~23.4% screen-to-body ratio);176 x 220 pixels (~141 ppi density);microSD (dedicated slot);3.15 MP;;Yes;No;;No;Yes;No;Stereo FM radio, RDS;Proprietary;;Music playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 3 h;;Black, Silver;;Class 10;No;;;;;;;;;
https://www.gsmarena.com/sagem_my721z-2301.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my721z.jpg;Sagem my721z;Released 2008;125g, 12mm thickness;Feature phone;microSD slot;8;N/A;132,124 hits;"2.2""";176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February. Released 2008;Discontinued;106 x 52 x 12 mm (4.17 x 2.05 x 0.47 in);125 g (4.41 oz);Mini-SIM;TFT, 256K colors;2.2 inches, 15.2 cm(~27.6% screen-to-body ratio);176 x 220 pixels (~128 ppi density);microSD (dedicated slot);3.15 MP;;Yes;No;;No;Yes;No;Stereo FM radio, RDS;Proprietary;;Music playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 3 h;;Silver;;Yes;No;;Mirror effect;;;;;;;
https://www.gsmarena.com/sagem_my521x-2300.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my521x.jpg;Sagem my521x;Released 2008, July;90g, 10mm thickness;Feature phone;10MB storage, microSD slot;8;N/A;167,601 hits;"1.9""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, July;Discontinued;107 x 46 x 10 mm (4.21 x 1.81 x 0.39 in);90 g (3.17 oz);Mini-SIM;TFT, 65K colors;1.9 inches, 11.4 cm(~23.1% screen-to-body ratio);128 x 160 pixels (~108 ppi density);microSD (dedicated slot);1.3 MP;;Yes;No;;No;Yes;No;No;Proprietary;;MP3/AAC playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 3 h;;Black,Silver;;Yes;No;10MB;;;;;;;;
https://www.gsmarena.com/sagem_my519x-2299.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my519x.jpg;Sagem my519x;Released 2008;95g, 11mm thickness;Feature phone;microSD slot;8;N/A;123,887 hits;"2.0""";176x220 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February. Released 2008;Discontinued;108 x 48 x 11 mm (4.25 x 1.89 x 0.43 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.6 cm(~24.3% screen-to-body ratio);176 x 220 pixels (~141 ppi density);microSD (dedicated slot);3.15 MP;;Yes;No;;Wi-Fi 802.11b/g;Yes;No;Stereo FM radio, RDS;Proprietary;;Music playerBarcode readerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 240 h;Up to 4 h 30 min;;Violet, Green, Pink;;Yes;Class 10;;;;;;;;;
https://www.gsmarena.com/sagem_my421x-2298.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my421x.jpg;Sagem my421x;Released 2008;81g, 10mm thickness;Feature phone;microSD slot;8;N/A;114,408 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February. Released 2008;Discontinued;107 x 47 x 10 mm (4.21 x 1.85 x 0.39 in);81 g (2.86 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~20.3% screen-to-body ratio);128 x 160 pixels (~114 ppi density);microSD (dedicated slot);1.3 MP;;Yes;No;;No;Yes;No;Stereo FM radio, RDS;Proprietary;;Music playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 220 h;Up to 3 h 40 min;;Black;;Yes;No;;Glossy effect;;;;;;;
https://www.gsmarena.com/sagem_my429x-2297.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x.jpg;Sagem my429x;Released 2008, February;95g, 15mm thickness;Feature phone;No card slot;6;N/A;104,361 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February;Discontinued;106 x 46 x 15 mm (4.17 x 1.81 x 0.59 in);95 g (3.35 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~20.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;VGA;;Yes;No;;Wi-Fi 802.11b/g;Yes;No;No;Proprietary;;Music playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 370 h;Up to 4 h;;Silver;;Yes;No;;Metallic cover with mirror effect;;;;;;;
https://www.gsmarena.com/sagem_my419x-2296.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my419x-new.jpg;Sagem my419x;Released 2008, February;95g, 15mm thickness;Feature phone;No card slot;6;N/A;113,926 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February;Discontinued;106 x 46 x 15 mm (4.17 x 1.81 x 0.59 in);95 g (3.35 oz);Mini-SIM;TFT, 65K colors;1.8 inches, 10.2 cm(~20.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;VGA;;Yes;No;;Wi-Fi 802.11b/g;Yes;No;No;Proprietary;;Music playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 370 h;Up to 4 h;;Silver;;Yes;No;;Metallic cover with mirror effect;;;;;;;
https://www.gsmarena.com/sagem_p9522_porsche-3210.php;https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9522.jpg;Sagem P9522 Porsche;Released 2008, October;115g, 12mm thickness;Feature phone;microSD slot;11;N/A;186,537 hits;"2.8""";240x400 pixels; ;;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2008, October. Released 2008, October;Discontinued;112 x 49 x 12 mm (4.41 x 1.93 x 0.47 in);115 g (4.06 oz);Mini-SIM;AMOLED resistive touchscreen, 256K colors;2.8 inches, 22.3 cm(~40.7% screen-to-body ratio);240 x 400 pixels, 5:3 ratio (~167 ppi density);microSD (dedicated slot);5 MP, AF;;Yes;No;;Wi-Fi 802.11 b/g;Yes;GPS, A-GPS;Stereo FM radio, RDS;Proprietary;Fingerprint (front-mounted);MP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memo/dialPredictive text input;Removable Li-Ion battery;Up to 300 h;Up to 4 h;;Black;About 600 EUR;Class 10;Class 10;;;Scratch-resistant glass;;;;;;
https://www.gsmarena.com/sagem_p9521_porsche-3209.php;https://fdn2.gsmarena.com/vv/bigpic/Sagem-Porsche-P9521.jpg;Sagem P9521 Porsche;Released 2008, December;139g, 17.8mm thickness;Feature phone;22MB storage, microSD slot;13;N/A;193,145 hits;"2.2""";240x320 pixels; ;;1350 mAh Li-Ion;GSM 850 / 900 / 1800 / 1900;;;2008, October. Released 2008, December;Discontinued;91.5 x 48.3 x 17.8 mm (3.60 x 1.90 x 0.70 in);139 g (4.90 oz);Mini-SIM;AMOLED, 256K colors;2.2 inches, 15.0 cm(~33.9% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~182 ppi density);microSD (dedicated slot);3.15 MP, AF;LED flash;Yes;No;;No;1.2, A2DP;No;No;1.1;Fingerprint (front-mounted);MP3/eAAC+ playerMP4/H.263 playerOrganizerVoice memo/dialPredictive text input;Removable Li-Ion battery;Up to 240 h;Up to 3 h 30 min;Up to 7 h;Black;About 1200 EUR;Class 10;Class 10;22MB;Secondary external display;;;;;;;
https://www.gsmarena.com/sagem_my730c-2905.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my730c.jpg;Sagem my730c;Released 2008, Q4;95g, 16mm thickness;Feature phone;54MB storage, microSD slot;6;N/A;100,752 hits;"2.0""";240x320 pixels; ;;920 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2008, August. Released 2008, Q4;Discontinued;96 x 49 x 16 mm (3.78 x 1.93 x 0.63 in);95 g (3.35 oz);Mini-SIM;TFT, 256K colors;2.0 inches, 12.4 cm(~26.3% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~200 ppi density);microSD (dedicated slot);2 MP;;Yes;No;;No;Yes;No;No;miniUSB;;MP3/MP4 playerOrganizerVoice memoPredictive text input;Removable Li-Ion 920 mAh battery;Up to 300 h;Up to 4 h;;Black;;;;54MB;Secondary external displayDedicated music keys;;;;;;;
https://www.gsmarena.com/sagem_my411c-2295.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my411c.jpg;Sagem my411c;Released 2008, February;87g, 16mm thickness;Feature phone;microSD slot;8;N/A;161,125 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February;Discontinued;91 x 46 x 16 mm (3.58 x 1.81 x 0.63 in);87 g (3.07 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~24.4% screen-to-body ratio);128 x 160 pixels (~114 ppi density);microSD (dedicated slot);VGA;;Yes;No;;No;Yes;No;No;Proprietary;;Music playerPredictive text inputOrganizer;Removable Li-Ion battery;Up to 200 h;Up to 3 h;;Black, Pink;;Yes;No;;Mirror effect;;;;;;;
https://www.gsmarena.com/sagem_my312x-2294.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my312x.jpg;Sagem my312x;Released 2008;87g, 11mm thickness;Feature phone;No card slot;5;N/A;109,495 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;;;2008, February. Released 2008;Discontinued;109 x 48 x 11 mm (4.29 x 1.89 x 0.43 in);87 g (3.07 oz);Mini-SIM;TFT, 65K colors;1.8 inches, 10.2 cm(~19.5% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;No;;;;;No;Yes;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 220 h;Up to 3 h 40 min;;Black;;Yes;No;;;;;;;;;
https://www.gsmarena.com/sagem_my234x-2293.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg;Sagem my234x;Released 2008;75g, 12mm thickness;Feature phone;No card slot;5;N/A;88,896 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February. Released 2008;Discontinued;106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~20.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;No;;;;;No;No;No;FM radio;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 450 h;Up to 6 h;;Black;;No;No;;;;;;;;;
https://www.gsmarena.com/sagem_my231x-2292.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my231x.jpg;Sagem my231x;Released 2008;75g, 12mm thickness;Feature phone;No card slot;6;N/A;89,738 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February. Released 2008;Discontinued;106 x 46 x 12 mm (4.17 x 1.81 x 0.47 in);75 g (2.65 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~20.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;No;;;;;No;Yes;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 450 h;Up to 6 h;;Black;;No;No;;;;;;;;;
https://www.gsmarena.com/sagem_my230x-2291.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my230x.jpg;Sagem my230x;Released 2008;65g, 10mm thickness;Feature phone;No card slot;7;N/A;92,007 hits;"1.8""";128x160 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February. Released 2008;Discontinued;106 x 46 x 10 mm (4.17 x 1.81 x 0.39 in);65 g (2.29 oz);Mini-SIM;CSTN, 65K colors;1.8 inches, 10.2 cm(~20.9% screen-to-body ratio);128 x 160 pixels (~114 ppi density);No;No;;;;;No;No;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 240 h;Up to 3 h;;;;No;No;;;;;;;;;
https://www.gsmarena.com/sagem_my226x-2513.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my226x.jpg;Sagem my226x;Released 2008;65g, 11mm thickness;Feature phone;No card slot;5;N/A;89,922 hits;;128x128 pixels; ;;670 mAh Li-Ion;GSM 900 / 1800;;;2008, February. Released 2008;Discontinued;103 x 46 x 11 mm (4.06 x 1.81 x 0.43 in);65 g (2.29 oz);Mini-SIM;CSTN, 65K colors;, 26 x 28 mm;128 x 128 pixels, 1:1 ratio;No;No;;;;;No;No;No;No;Proprietary;;OrganizerPredictive text input;Removable Li-Ion 670 mAh battery;Up to 240 h;Up to 3 h;;Black;;No;No;;;;;;;;;
https://www.gsmarena.com/sagem_my220x-2290.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my220x.jpg;Sagem my220x;Released 2008, February;65g, 10mm thickness;Feature phone;No card slot;7;N/A;135,120 hits;"1.5""";128x128 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800;;;2008, February;Discontinued;107 x 47 x 10 mm (4.21 x 1.85 x 0.39 in);65 g (2.29 oz);Mini-SIM;CSTN, 65K colors;1.5 inches, 7.3 cm(~14.4% screen-to-body ratio);128 x 128 pixels, 1:1 ratio (~121 ppi density);No;No;;;;;No;No;No;No;Proprietary;;Predictive text inputOrganizer;Removable Li-Ion battery;Up to 240 h;Up to 3 h;;Chrome, Bronze, Red;About 60 EUR;No;No;;;;;;;;;
https://www.gsmarena.com/sagem_my901c-2132.php;https://fdn2.gsmarena.com/vv/bigpic/sagem-my901c.gif;Sagem my901C;Released 2008, February;115g, 23.5mm thickness;Feature phone;miniSD slot;8;N/A;120,438 hits;"1.9""";240x320 pixels; ;;1000 mAh Li-Ion;GSM 900 / 1800 / 1900;UMTS 2100;Yes, 384 kbps;2007, March. Released 2008, February;Discontinued;90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in);115 g (4.06 oz);Mini-SIM;TFT, 256K colors;1.9 inches, 11.2 cm(~27.6% screen-to-body ratio);240 x 320 pixels, 4:3 ratio (~211 ppi density);miniSD;2 MP;;Yes;VGA videocall camera;;No;2.0, A2DP;No;No;Proprietary;;Video telephony & streamingMP3/AAC playerPredictive text inputOrganizerVoice memo;Removable Li-Ion battery;Up to 300 h;Up to 5 h;;Black, Dark Blue, Dark Red;;;;;Second external TFT, 256K colors display (96 x 64 pixels);;;;;;;
