Link;Image;Name;Release date;Weight;OS;Storage;Fans;Popularity;Hits;Screen_size;Screen_resolution;RAM;SOC;Battery;net2g;net3g;net4g;net5g;speed;year;status;dimensions;weight;sim;bodyother;displaytype;displaysize;displayresolution;displayprotection;os;chipset;cpu;gpu;memoryslot;internalmemory;cam1modules;cam1features;cam1video;cam2modules;cam2video;wlan;bluetooth;gps;nfc;radio;usb;sensors;batdescription1;colors;price;memoryother;featuresother;cam2features;build;tbench;batlife;optionalother;gprstext;edge;sar-us
https://www.gsmarena.com/ulefone_power_armor_18-12081.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-18.jpg;Ulefone Power Armor 18;Released 2022, December 05;409g, 18.8mm thickness;Android 12;256GB storage, microSDXC;7;1.1%;15,375 hits;"6.58""";1080x2408 pixels;12 GB RAM;Dimensity 900;9600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71;1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79 SA/NSA/Sub6;HSPA, LTE, 5G;2022, December 05;Available. Released 2022, December 05;175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in);409 g (14.43 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope);IPS LCD, 120Hz;6.58 inches, 104.3 cm(~71.4% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Corning Gorilla Glass 5;Android 12;Mediatek MT6877 Dimensity 900 (6 nm);Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mali-G68 MC4;microSDXC (uses shared SIM slot);256GB 12GB RAM;108 MP, f/1.9, (wide), 1/1.52”, 0.7µm, PDAF5 MP, f/3.0, (macro), 1/5”, 1.12µm8 MP, f/2.2, 119˚ (ultrawide);Hexa-LED flash, HDR, panorama;4K@30fps, 1080p@30fps;32 MP, f/2.0, (wide), 1.2µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;5.0, A2DP, LE;GPS (L1+L5), GLONASS, GALILEO, BDS, NavIC;Yes;Wireless FM radio, RDS, recording;USB Type-C 2.0, OTG, magnetic connector;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, thermometer;Li-Po 9600 mAh, non-removable;Black;About 400 EUR;;;;;;;;;;
https://www.gsmarena.com/ulefone_note_14-12080.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-note-14.jpg;Ulefone Note 14;Released 2022, September 29;189g, 9mm thickness;Android 12;16GB/64GB storage, microSDXC;0;0.4%;7,168 hits;"6.52""";720x1600 pixels;3/4 GB RAM;Helio A22;4500 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 28;;HSPA, LTE;2022, September 29;Available. Released 2022, September 29;164.8 x 76 x 9 mm (6.49 x 2.99 x 0.35 in);189 g (6.67 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.52 inches, 102.6 cm(~81.9% screen-to-body ratio);720 x 1600 pixels, 20:9 ratio (~269 ppi density);;Android 12;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8300;microSDXC (dedicated slot);16GB 3GB RAM, 64GB 4GB RAM;13 MP, f/2.0, (wide), 1.12µm, AF (64/4 model)8 MP, f/1.8, (wide), 1.12µm, AF (16/3 model)Depth camera;LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.0, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;Stereo FM radio, RDS, recording;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 4500 mAh, non-removable;Midnight Black, Mint Green, Lavender Purple;About 100 EUR;eMMC 5.1;;;;;;;;;
https://www.gsmarena.com/ulefone_power_armor_19-12077.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-19.jpg;Ulefone Power Armor 19;Released 2022, December 27;409g, 18.8mm thickness;Android 12;256GB storage, microSDXC;12;1.0%;33,699 hits;"6.58""";1080x2408 pixels;12 GB RAM;Helio G99;9600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71;;HSPA, LTE;2022, December 27;Available. Released 2022, December 27;175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in);409 g (14.43 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810H compliantAccessory connector (ulefone endoscope, microscope);IPS LCD, 120Hz;6.58 inches, 104.3 cm(~71.4% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Corning Gorilla Glass 5;Android 12;Mediatek MT8781 Helio G99 (6nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC (uses shared SIM slot);256GB 12GB RAM;108 MP, f/1.9, (wide), 1/1.52”, 0.7µm, PDAF8 MP, f/2.2, (ultrawide), 1/4”, 1.12µm5 MP, f/3.0, (macro), 1/5”, 1.12µm;Hexa-LED flash, HDR, panorama;1440p@30fps;16 MP, f/2.0, (wide), 1.0µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;5.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;Wireless FM radio, RDS, recording;USB Type-C 2.0, OTG, magnetic connector;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, thermometer;Li-Po 9600 mAh, non-removable;Black;;;;;;;;;;;
https://www.gsmarena.com/ulefone_tab_a8-12078.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-tab-a8-.jpg;Ulefone Tab A8;Released 2023, January 11;483g, 7.4mm thickness;Android 12;64GB storage, microSDXC;0;0.2%;3,870 hits;"10.1""";1200x1920 pixels;4 GB RAM;MT6762V;6580 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 20, 26, 28, 38, 40, 41;;HSPA, LTE;2023, January 11;Available. Released 2023, January 11;238.7 x 157.5 x 7.4 mm (9.40 x 6.20 x 0.29 in);483 g (1.06 lb);Hybrid Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;10.1 inches, 295.8 cm(~78.7% screen-to-body ratio);1200 x 1920 pixels, 16:10 ratio (~224 ppi density);;Android 12;Mediatek MT6762V/WD (12 nm);Octa-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);64GB 4GB RAM;13 MP, f/2.0, (wide);LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.2, (wide);1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;FM radio, RDS, recording;USB Type-C 2.0, OTG;Accelerometer, proximity;Li-Po 6580 mAh, non-removable;Gray;About 180 EUR;eMMC 5.1;;;;;;;;;
https://www.gsmarena.com/ulefone_power_armor_18t-11966.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-18t.jpg;Ulefone Power Armor 18T;Released 2022, October 31;409g, 18.8mm thickness;Android 12;256GB storage, microSDXC;38;1.0%;69,634 hits;"6.58""";1080x2408 pixels;12 GB RAM;Dimensity 900;9600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66, 71;1, 2, 3, 5, 7, 8, 20, 25, 28, 38, 41, 66, 77, 78, 79 SA/NSA/Sub6;HSPA, LTE;2022, October 31;Available. Released 2022, October 31;175.2 x 83.4 x 18.8 mm (6.90 x 3.28 x 0.74 in);409 g (14.43 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliantAccessory connector (ulefone endoscope, microscope);IPS LCD, 120Hz;6.58 inches, 104.3 cm(~71.4% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Corning Gorilla Glass 5;Android 12;Mediatek MT6877 Dimensity 900 (6 nm);Octa-core (2x2.4 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mali-G68 MC4;microSDXC (uses shared SIM slot);256GB 12GB RAM;108 MP, f/1.9, (wide), 1/1.52”, 0.7µm, PDAF5 MP, f/3.0, (macro), 1/5”, 1.12µmFLIR thermal camera (Lepton module)5 MP (for thermal module);Hexa-LED flash, HDR, panorama;4K@30fps, 1080p@30fps;32 MP, f/2.0, (wide), 1.2µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;5.0, A2DP, LE;GPS (L1+L5), GLONASS, GALILEO, BDS, NavIC;Yes;Wireless FM radio, RDS, recording;USB Type-C 2.0, OTG, magnetic connector;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;Li-Po 9600 mAh, non-removable;Black;About 640 EUR;;;;;;;;;;
https://www.gsmarena.com/ulefone_armor_17_pro-11965.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-17-pro.jpg;Ulefone Armor 17 Pro;Released 2022, October 31;290g, 12.5mm thickness;Android 12;256GB storage, microSDXC;14;0.5%;33,590 hits;"6.58""";1080x2408 pixels;8 GB RAM;Helio G99;5380 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 34, 38, 39, 40, 41, 66;;HSPA, LTE;2022, October 31;Available. Released 2022, October 31;172.7 x 80.4 x 12.5 mm (6.80 x 3.17 x 0.49 in);290 g (10.23 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;IPS LCD, 120Hz;6.58 inches, 104.3 cm(~75.1% screen-to-body ratio);1080 x 2408 pixels, 20:9 ratio (~401 ppi density);Corning Gorilla Glass 5;Android 12;Mediatek MT8781 Helio G99 (6nm);Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mali-G57 MC2;microSDXC (dedicated slot);256GB 8GB RAM;108 MP, f/1.9, (wide), 1/1.52”, 0.7µm, PDAF8 MP, f/2.2, 119˚, (ultrawide), 1/4”, 1.12µm8 MP, (night vision), 2 infrared night vision lights;Triple-LED flash, HDR, panorama;1440p@30fps, 1080p@30fps;16 MP, f/2.2, (wide), 1.0µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.2, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;Wireless FM radio, RDS, recording;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;Li-Po 5380 mAh, non-removable;Black;About 260 EUR;;MagSafe compatible accessories;;;;;;;;
https://www.gsmarena.com/ulefone_power_armor_16_pro-11897.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-16-pro.jpg;Ulefone Power Armor 16 Pro;Released 2022, September 16;405g, 18.3mm thickness;Android 12;64GB storage, microSDXC;15;0.4%;54,622 hits;"5.93""";720x1440 pixels;4 GB RAM;Helio G25;9600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 66;;HSPA, LTE;2022, September 16;Available. Released 2022, September 16;173.4 x 83.4 x 18.3 mm (6.83 x 3.28 x 0.72 in);405 g (14.29 oz);Dual SIM (Nano-SIM, dual stand-by);IP68/IP69K dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliantFlashlight with a dedicated buttonAccessory connector (ulefone endoscope, microscope);IPS LCD;5.93 inches, 90.7 cm(~62.8% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~271 ppi density);;Android 12;Mediatek MT6762G Helio G25 (12 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM;16 MP, f/1.8, (wide), 1.12µm, PDAF2 MP, f/2.4, (macro);LED flash, HDR, panorama;1080p@30fps;8 MP, f/2.0, (wide), 1.12µm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;Wireless FM radio, RDS, recording;USB Type-C 2.0, OTG, magnetic connector;Fingerprint (side-mounted), accelerometer, proximity, compass;Li-Po 9600 mAh, non-removable;Black, Black/Orange;About 220 EUR;eMMC 5.1;;;;;;;;;
https://www.gsmarena.com/ulefone_power_armor_x11_pro-11896.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-power-armor-x11-pro.jpg;Ulefone Power Armor X11 Pro;Released 2022, September 16;330g, 19.3mm thickness;Android 12;64GB storage, microSDXC;4;0.2%;20,874 hits;"5.45""";720x1440 pixels;4 GB RAM;Helio G25;8150 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28;;HSPA, LTE;2022, September 16;Available. Released 2022, September 16;158.2 x 76.7 x 19.3 mm (6.23 x 3.02 x 0.76 in);330 g (11.64 oz);Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliant;IPS LCD;5.45 inches, 76.7 cm(~63.2% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);;Android 12;Mediatek MT6762G Helio G25 (12 nm);Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);64GB 4GB RAM;16 MP, f/1.8, (wide), 1.12µm, PDAF2 MP, f/2.4, (depth);Dual-LED flash, HDR, panorama;1080p@30fps;5 MP, f/2.2;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;Yes;FM radio, RDS, recording;USB Type-C 2.0, OTG;Accelerometer, proximity, compass;Li-Po 8150 mAh, non-removable;Black;About 170 EUR;eMMC 5.1;;;;;;;;;
https://www.gsmarena.com/ulefone_armor_15-11756.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor15.jpg;Ulefone Armor 15;Released 2022, August 10;346g, 18.2mm thickness;Android 12;128GB storage, microSDXC;15;0.2%;47,003 hits;"5.45""";720x1440 pixels;6 GB RAM;Helio G35;6600 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41, 66;;HSPA, LTE Cat13 300/150 Mbps;2022, July 27;Available. Released 2022, August 10;170.2 x 79.6 x 18.2 mm (6.70 x 3.13 x 0.72 in);346 g (12.20 oz);Dual SIM (Nano-SIM, dual stand-by);"IP68 dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.5mMIL-STD-810G compliantBuilt-in wireless earbuds housed inside the top side of the phone; charging";IPS LCD;5.45 inches, 76.7 cm(~56.6% screen-to-body ratio);720 x 1440 pixels, 18:9 ratio (~295 ppi density);;Android 12;Mediatek MT6765G Helio G35 (12 nm);Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53);PowerVR GE8320;microSDXC (dedicated slot);128GB 6GB RAM;12 MP, f/1.8, (wide), 1.4μm13 MP, f/2.4, 106˚ (ultrawide);LED flash, HDR, panorama;1080p@30fps;16 MP, f/2.4, (wide), 1.0μm;1080p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP;GPS, GLONASS, BDS, GALILEO;Yes;Stereo FM radio, RDS, recording;USB Type-C 2.0, OTG;Fingerprint (side-mounted), accelerometer, proximity, gyro, compass;Li-Po 6600 mAh, non-removable;Meteorite Black, Tech Blue, Sport Red;About 300 EUR;;;;;;;;;;
https://www.gsmarena.com/ulefone_armor_x6_pro-11714.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-armor-x6-pro.jpg;Ulefone Armor X6 Pro;Released 2022, July 16;227g, 14.4mm thickness;Android 12;32GB storage, microSDXC;3;0.2%;27,329 hits;"5.0""";720x1280 pixels;4 GB RAM;Helio A22;4000 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20;;HSPA, LTE;2022, July 16;Available. Released 2022, July 16;150 x 78.9 x 14.4 mm (5.91 x 3.11 x 0.57 in);227 g (8.01 oz);Hybrid Dual SIM (Nano-SIM, dual stand-by);IP68 dust/water resistant (up to 1.5m for 30 min)Drop-to-concrete resistance from up to 1.2mMIL-STD-810G compliant;IPS LCD;5.0 inches, 68.9 cm(~58.2% screen-to-body ratio);720 x 1280 pixels, 16:9 ratio (~294 ppi density);;Android 12;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (uses shared SIM slot);32GB 4GB RAM;13 MP, f/2.2, (wide), AF;Dual-LED flash;1080p@30fps;5 MP, f/2.2;720p@30fps;Wi-Fi 802.11 a/b/g/n/ac, dual-band;5.0, A2DP, LE;GPS, GLONASS, BDS, GALILEO;Yes;Stereo FM radio, RDS, recording;microUSB 2.0;Accelerometer, proximity, compass;Li-Po 4000 mAh, non-removable;Black, Orange;;eMMC 5.1;;;;;;;;;
https://www.gsmarena.com/ulefone_note_12-11680.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-note12.jpg;Ulefone Note 12;Released 2022, July;237g, 10.2mm thickness;Android 11;128GB storage, microSDXC;2;0.1%;22,474 hits;"6.82""";720x1640 pixels;4 GB RAM;Unisoc Tiger T310;7700 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 66;;HSPA, LTE;2022, July;Available. Released 2022, July;173.6 x 79.1 x 10.2 mm (6.83 x 3.11 x 0.40 in);237 g (8.36 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.82 inches, 110.5 cm(~80.4% screen-to-body ratio);720 x 1640 pixels (~263 ppi density);;Android 11;Unisoc Tiger T310 (12nm);Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55);PowerVR GE8300;microSDXC (dedicated slot);128GB 4GB RAM;13 MP, (wide), AF2 MP, (macro)2 MP, (depth);LED flash, HDR, panorama;1080p@30fps;8 MP;Yes;Wi-Fi 802.11 b/g/n;4.2, A2DP;GPS, GLONASS, BDS;No;Stereo FM radio, RDS, recording;USB Type-C 2.0;Fingerprint (side-mounted), accelerometer, proximity;Li-Po 7700 mAh, non-removable;Black, Red, Blue;;;;HDR;;;;;;;
https://www.gsmarena.com/ulefone_note_6t-11537.php;https://fdn2.gsmarena.com/vv/bigpic/ulefone-note6t.jpg;Ulefone Note 6T;Released 2022, May 13;163g, 8.5mm thickness;Android 12;64GB storage, microSDXC;1;0.1%;22,058 hits;"6.1""";720x1560 pixels;3 GB RAM;Helio A22;3300 mAh Li-Po;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 19, 20, 26, 66;;HSPA 21.1/5.76 Mbps;2022, May 13;Available. Released 2022, May 13;155.4 x 73.4 x 8.5 mm (6.12 x 2.89 x 0.33 in);163 g (5.75 oz);Dual SIM (Nano-SIM, dual stand-by);;IPS LCD;6.1 inches, 91.3 cm(~80.1% screen-to-body ratio);720 x 1560 pixels, 19.5:9 ratio (~282 ppi density);;Android 12;Mediatek MT6761 Helio A22 (12 nm);Quad-core 2.0 GHz Cortex-A53;PowerVR GE8320;microSDXC (dedicated slot);64GB 3GB RAM;13 MP, (wide), AF2 MP, (depth);LED flash;1080p@30fps;5 MP;Yes;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;5.0, A2DP, LE;GPS, GLONASS, GALILEO, BDS;No;Stereo FM radio, RDS, recording;microUSB 2.0;Accelerometer, proximity;Li-Po 3300 mAh, non-removable;Black, Green, Purple, Red;;eMMC 5.1;;;;;;;;;
